FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,41047,427302401,운무산,청량리구간, ,0.12,쉬움,2,1, , , , , ,2016-12-31,427205401
1,41048,427302401,운무산,청량리구간, ,0.67,쉬움,12,8, , , , , ,2016-12-31,427205401
2,41049,427302401,운무산, , ,2.52,쉬움,44,31, , , , , ,2016-12-31,427302401
3,41050,427302401,운무산, , ,1.26,쉬움,22,16, , , , , ,2016-12-31,2218082200
4,41051,427302401,운무산,청량리구간, ,2.27,쉬움,40,28, , , , , ,2016-12-31,2218082200
5,41052,427302401,운무산, , ,0.53,쉬움,9,7, , , , , ,2016-12-31,2218082200
6,41053,427302401,운무산,속실리구간, ,1.31,쉬움,23,16, , , , , ,2016-12-31,2218082200
7,41054,427302401,운무산,속실리구간, ,0.16,쉬움,3,2, , , , , ,2016-12-31,2218082200
8,41055,427302401,운무산,청량리구간, ,3.67,쉬움,65,45, , , , , ,2016-12-31,2218082200
9,41056,427302401,운무산,속실리구간, ,4.82,쉬움,85,60, , , , , ,2016-12-31,2218082200
10,41057,427302401,운무산,속실리구간, ,1.32,쉬움,23,16, , , , , ,2016-12-31,2218082200
11,41058,427302401,운무산, , ,0.13,중간,2,2, , , , , ,2016-12-31,2218082200
12,41059,427302401,운무산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,2218082200
13,41060,427302401,운무산, , ,3.03,쉬움,53,37, , , , , ,2016-12-31,2218082200
14,41061,427302401,운무산, , ,0.69,쉬움,12,9, , , , , ,2016-12-31,2218082200
15,41062,427302401,운무산, , ,0.51,쉬움,9,6, , , , , ,2016-12-31,2218082200
16,41063,427302401,운무산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2218082200
17,41064,427302401,운무산, , ,0.32,쉬움,6,4, , , , , ,2016-12-31,2218082200
18,41065,427302401,운무산, , ,0.89,쉬움,16,11, , , , , ,2016-12-31,2218082200
19,41066,427302401,운무산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,2218082200
20,41067,427302401,운무산, , ,0.53,쉬움,9,7, , , , , ,2016-12-31,2218082200
21,41068,427302401,운무산, , ,0.31,쉬움,5,4, , , , , ,2016-12-31,2218082200
22,41069,427302401,운무산,청량리구간, ,1.11,쉬움,20,14, , , , , ,2016-12-31,2218082200
23,41070,427302401,운무산, , ,0.34,쉬움,6,4, , , , , ,2016-12-31,2218082200
24,41071,427302401,운무산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,2218082200
25,41072,427302401,운무산, , ,0.51,쉬움,9,6, , , , , ,2016-12-31,2218082200
26,41073,427302401,운무산,청량리구간, ,1.29,쉬움,23,16, , , , , ,2016-12-31,2218082200
27,41074,427302401,운무산,청량리구간, ,1.82,쉬움,32,22, , , , , ,2016-12-31,2218082200
28,41075,427302401,운무산, , ,0.44,쉬움,8,5, , , , , ,2016-12-31,2218082200
29,41076,427302401,운무산, , ,1.64,쉬움,62,43, , , , , ,2016-12-31,2218082200
30,41077,427302401,운무산, , ,0.7,쉬움,12,9, , , , , ,2016-12-31,2218082200
31,41078,427302401,운무산, , ,0.51,쉬움,9,6, , , , , ,2016-12-31,2218082200
32,41079,427302401,운무산, , ,0.66,쉬움,12,8, , , , , ,2016-12-31,2218082200
33,41080,427302401,운무산, , ,0.47,쉬움,8,6, , , , , ,2016-12-31,2218082200
34,41081,427302401,운무산, , ,0.29,쉬움,5,4, , , , , ,2016-12-31,2218082200
35,41082,427302401,운무산, , ,0.44,쉬움,8,5, , , , , ,2016-12-31,2218082200
36,41083,427302401,운무산, , ,1.67,쉬움,29,21, , , , , ,2016-12-31,2218082200
37,41084,427302401,운무산, , ,0.64,쉬움,11,8, , , , , ,2016-12-31,2218082200
38,41085,427302401,운무산,청량리구간, ,0.12,쉬움,2,1, , , , , ,2016-12-31,2218082200
39,41086,427302401,운무산, , ,1.4,쉬움,25,17, , , , , ,2016-12-31,2218082200
40,41087,427302401,운무산,청량리구간, ,0.85,쉬움,15,11, , , , , ,2016-12-31,2218082200
41,41088,427302401,운무산,청량리구간, ,5.59,쉬움,99,69, , , , , ,2016-12-31,2218082200
42,41089,427302401,운무산, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,427302401
43,41090,427302401,운무산, , ,0.66,쉬움,12,8, , , , , ,2016-12-31,427302401
