FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,41217,457102401,운암산,산천마을 입구구간, ,0.02,쉬움,1,0,암석/전석/토사, , , , ,2016-12-31,457102401
1,41218,457102401,운암산,대아리구간, ,0.01,쉬움,1,0,암석/전석/토사, , ,암벽, ,2016-12-31,457102401
2,41219,457102401,운암산,대아리구간, ,1.15,쉬움,20,14,암석/전석/토사, , ,암벽, ,2016-12-31,457102401
3,41220,457102401,운암산,대아리구간, ,0.01,쉬움,1,0,암석/전석/토사, , ,암벽, ,2016-12-31,457102401
4,41221,457102401,운암산,대아리구간, ,0.09,쉬움,2,1,암석/전석/토사, , ,암벽, ,2016-12-31,457102401
5,41222,457102401,운암산,대아리구간, ,0.01,쉬움,1,0,암석/전석/토사, , ,암벽, ,2016-12-31,457102401
6,41223,457102401,운암산,대아리구간, ,0.01,쉬움,1,0,암석/전석/토사, , ,암벽, ,2016-12-31,457102401
7,41224,457102401,운암산,대아리구간, ,0.01,쉬움,1,0,암석/전석/토사, , ,암벽, ,2016-12-31,457102401
8,41225,457102401,운암산,산천마을 입구구간, ,0.04,쉬움,1,0,암석/전석/토사, , ,미끄러움, ,2016-12-31,457102401
9,41226,457102401,운암산,대아리구간,소나무/저승바위,0.03,쉬움,1,0,암석/전석/토사, , ,암벽, ,2016-12-31,457102401
10,41227,457102401,운암산,휴게소구간,소나무,2.41,쉬움,90,63,암석/전석/토사, , ,암벽/미끄러움, ,2016-12-31,457102401
11,41228,457102401,운암산,휴게소구간,군훈련장,1.16,쉬움,20,14,암석/전석/토사, , ,암벽/미끄러움, ,2016-12-31,457102401
12,41229,457102401,운암산,산천마을 입구구간,쉼터,0.28,쉬움,5,3,암석/전석/토사, , ,미끄러움, ,2016-12-31,457102401
13,41230,457102401,운암산,휴게소구간,봉화대,0.2,쉬움,4,2,암석/전석/토사, , ,암벽/미끄러움, ,2016-12-31,457102401
14,41231,457102401,운암산,대아리구간, ,1.8,쉬움,32,22,암석/전석/토사, , ,암벽, ,2016-12-31,457102401
15,41232,457102401,운암산,산천마을 입구구간, ,1.88,쉬움,71,49,암석/전석/토사, , ,미끄러움, ,2016-12-31,457102401
