FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,41273,471103201,운제산,항사리구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,2723052000
1,41274,471103201,운제산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,2723052000
2,41275,471103201,운제산,항사리구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,2723052000
3,41276,471103201,운제산,항사리구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,2723052000
4,41277,471103201,운제산,항사리구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,2723052000
5,41278,471103201,운제산,항사리구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,2723052000
6,41279,471103201,운제산, , ,0.37,쉬움,7,5, , , , , ,2016-12-31,2723052000
7,41280,471103201,운제산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,2723052000
8,41281,471103201,운제산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,2723052000
9,41282,471103201,운제산, , ,0.27,쉬움,5,3, , , , , ,2016-12-31,2723052000
10,41283,471103201,운제산, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,2723052000
11,41284,471103201,운제산, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,2723052000
12,41285,471103201,운제산, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,2723052000
13,41286,471103201,운제산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2723052000
14,41287,471103201,운제산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,2723052000
15,41288,471103201,운제산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,2723052000
16,41289,471103201,운제산, , ,0.23,쉬움,4,3, , , , , ,2016-12-31,2723052000
17,41290,471103201,운제산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,2723052000
18,41291,471103201,운제산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,2723052000
19,41292,471103201,운제산,항사리구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,2723052000
20,41293,471103201,운제산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,2723052000
21,41294,471103201,운제산, , ,0.41,쉬움,7,5, , , , , ,2016-12-31,2723052000
22,41295,471103201,운제산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,2723052000
23,41296,471103201,운제산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2723052000
24,41297,471103201,운제산,대각리구간, ,5.51,쉬움,103,72, , , , , ,2016-12-31,2723052000
25,41298,471103201,운제산,산여리구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,2723052000
26,41299,471103201,운제산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,2723052000
27,41300,471103201,운제산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2723052000
28,41301,471103201,운제산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,2723052000
29,41302,471103201,운제산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2723052000
30,41303,471103201,운제산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2723052000
31,41304,471103201,운제산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,2723052000
32,41305,471103201,운제산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2723052000
33,41306,471103201,운제산, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,2723052000
34,41307,471103201,운제산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2723052000
35,41308,471103201,운제산, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,2723052000
36,41309,471103201,운제산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,2723052000
37,41310,471103201,운제산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,2723052000
38,41311,471103201,운제산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2723052000
39,41312,471103201,운제산, , ,0.71,쉬움,13,9, , , , , ,2016-12-31,2723052000
40,41313,471103201,운제산, , ,0.43,쉬움,8,5, , , , , ,2016-12-31,2723052000
41,41314,471103201,운제산, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,2723052000
42,41315,471103201,운제산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,2723052000
43,41316,471103201,운제산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,2723052000
44,41317,471103201,운제산, , ,0.23,쉬움,4,3, , , , , ,2016-12-31,2723052000
45,41318,471103201,운제산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,2723052000
46,41319,471103201,운제산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2723052000
47,41320,471103201,운제산, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,2723052000
48,41321,471103201,운제산, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,2723052000
49,41322,471103201,운제산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,2723052000
50,41323,471103201,운제산, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,2723052000
51,41324,471103201,운제산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,2723052000
52,41325,471103201,운제산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,2723052000
53,41326,471103201,운제산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,2723052000
54,41327,471103201,운제산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,2723052000
55,41328,471103201,운제산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,2723052000
56,41329,471103201,운제산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,2723052000
57,41330,471103201,운제산,항사리구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,2723052000
58,41331,471103201,운제산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,2723052000
59,41332,471103201,운제산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2723052000
60,41333,471103201,운제산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,2723052000
61,41334,471103201,운제산,대각리구간, ,0.32,쉬움,6,4, , , , , ,2016-12-31,2723052000
62,41335,471103201,운제산, , ,0.23,쉬움,4,3, , , , , ,2016-12-31,2723052000
63,41336,471103201,운제산, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,2723052000
64,41337,471103201,운제산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2723052000
65,41338,471103201,운제산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2723052000
66,41339,471103201,운제산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,2723052000
67,41340,471103201,운제산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,2723052000
68,41341,471103201,운제산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,2723052000
69,41342,471103201,운제산, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,2723052000
70,41343,471103201,운제산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,2723052000
71,41344,471103201,운제산, , ,0.68,쉬움,12,8, , , , , ,2016-12-31,2723052000
72,41345,471103201,운제산,산여리구간, ,0.56,중간,12,8, , , , , ,2016-12-31,2723052000
73,41346,471103201,운제산,산여리구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,2723052000
74,41347,471103201,운제산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2723052000
75,41348,471103201,운제산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,2723052000
76,41349,471103201,운제산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2723052000
77,41350,471103201,운제산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2723052000
78,41351,471103201,운제산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2723052000
79,41352,471103201,운제산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,2723052000
80,41353,471103201,운제산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2723052000
81,41354,471103201,운제산, , ,0.3,쉬움,5,4, , , , , ,2016-12-31,2723052000
