FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,41414,477601201,울련산,신원리구간, ,1.66,쉬움,29,21, , , , , ,2016-12-31,2713020800
1,41415,477601201,울련산,신원리구간, ,1.74,쉬움,31,21, , , , , ,2016-12-31,2713020800
2,41416,477601201,울련산, , ,1.43,쉬움,25,18, , , , , ,2016-12-31,2713020800
3,41417,477601201,울련산, , ,0.89,쉬움,16,11, , , , , ,2016-12-31,2713020800
4,41418,477601201,울련산, , ,0.85,쉬움,15,11, , , , , ,2016-12-31,2713020800
5,41419,477601201,울련산, , ,0.62,쉬움,11,8, , , , , ,2016-12-31,2713020800
6,41420,477601201,울련산, , ,1.21,쉬움,21,15, , , , , ,2016-12-31,2713020800
7,41421,477601201,울련산, , ,0.59,쉬움,10,7, , , , , ,2016-12-31,2713020800
8,41422,477601201,울련산, , ,0.74,쉬움,13,9, , , , , ,2016-12-31,2713020800
9,41423,477601201,울련산, , ,0.67,쉬움,12,8, , , , , ,2016-12-31,2713020800
10,41424,477601201,울련산, , ,0.75,쉬움,13,9, , , , , ,2016-12-31,2713020800
