FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,41825,457104401,원등산,위봉마을구간, ,3.12,쉬움,55,39,암석/전석/토사, , , , ,2016-12-31,457104401
1,41826,457104401,원등산,다리목 마을구간, ,1.53,쉬움,46,32,전석/토사, , ,로프설치필요망, ,2016-12-31,457104401
2,41827,457104401,원등산,원등사 입석비-접점구간,원등사입석비/폭포,2.51,쉬움,94,66,시멘트/전석/토사, , , , ,2016-12-31,457104401
3,41828,457104401,원등산,밤재-원등산 정상구간, ,1.39,쉬움,35,24,암석/전석/토사, , ,급경사, ,2016-12-31,457104401
4,41829,457104401,원등산,원등산 정상-다자이 마을구간,소나무,3.36,쉬움,59,42,암석/전석/토사, , , , ,2016-12-31,457104401
5,41830,457104401,원등산,밤재-원등산 정상구간,절벽바위,0.79,쉬움,14,10,암석/전석/토사, , ,급경사, ,2016-12-31,457104401
6,41831,457104401,원등산,수만리구간, ,0.51,쉬움,9,6,암석/전석/토사, , ,암벽/미끄러움, ,2016-12-31,457104401
7,41832,457104401,원등산,원등사 입석비-접점구간, ,0.21,쉬움,4,3,암석/전석/토사, , , , ,2016-12-31,457104401
8,41833,457104401,원등산,원등사 입석비-접점구간, ,0.1,쉬움,2,1,암석/전석/토사, , , , ,2016-12-31,457104401
9,41834,457104401,원등산,원등산 정상-다자이 마을구간, ,1.02,쉬움,18,13,암석/전석/토사, , ,난간 설치필요, ,2016-12-31,457104401
10,41835,457104401,원등산,위봉마을구간, ,0.39,쉬움,7,5,암석/전석/토사, , , , ,2016-12-31,457104401
11,41836,457104401,원등산,위봉마을구간, ,1.62,쉬움,29,20,암석/전석/토사, , , , ,2016-12-31,457104401
12,41837,457104401,원등산,원등산 정상-다자이 마을구간, ,0.02,쉬움,1,0,암석/전석/토사, , , , ,2016-12-31,457104401
13,41838,457104401,원등산,원등사 입석비-접점구간, ,0.23,쉬움,4,3,암석/전석/토사, , , , ,2016-12-31,457104401
14,41839,457104401,원등산,원등사 입석비-접점구간, ,0.19,쉬움,3,2,암석/전석/토사, , , , ,2016-12-31,457104401
15,41840,457104401,원등산,밤재-원등산 정상구간, ,0.2,쉬움,4,2,암석/전석/토사, , ,급경사, ,2016-12-31,457104401
16,41841,457104401,원등산,원등사 입석비-접점구간, ,0.16,쉬움,3,2,암석/전석/토사, , , , ,2016-12-31,457104401
