FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,41842,411900201,원미산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,2115100100
1,41843,411900201,원미산,원미동구간, ,0.23,쉬움,4,3, , , , , ,2016-12-31,2115100100
2,41844,411900201,원미산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,2115100100
3,41845,411900201,원미산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,2115100100
4,41846,411900201,원미산, , ,0.29,쉬움,5,4, , , , , ,2016-12-31,2115100100
5,41847,411900201,원미산, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,2115100100
6,41848,411900201,원미산, , ,0.27,쉬움,5,3, , , , , ,2016-12-31,2115100100
7,41849,411900201,원미산, , ,0.43,쉬움,8,5, , , , , ,2016-12-31,2115100100
8,41850,411900201,원미산, , ,0.33,쉬움,6,4, , , , , ,2016-12-31,2115100100
9,41851,411900201,원미산,춘의동구간, ,0.66,쉬움,12,8, , , , , ,2016-12-31,2115100100
10,41852,411900201,원미산,역곡동구간, ,0.99,쉬움,17,12, , , , , ,2016-12-31,2115100100
11,41853,411900201,원미산, , ,0.28,쉬움,5,3, , , , , ,2016-12-31,2115100100
12,41854,411900201,원미산, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,2115100100
13,41855,411900201,원미산, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,2115100100
14,41856,411900201,원미산, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,2115100100
15,41857,411900201,원미산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,2115100100
16,41858,411900201,원미산,역곡동구간, ,0.89,쉬움,16,11, , , , , ,2016-12-31,2115100100
17,41859,411900201,원미산,춘의동구간, ,0.28,쉬움,5,3, , , , , ,2016-12-31,2115100100
18,41860,411900201,원미산,소사동구간, ,0.37,쉬움,7,5, , , , , ,2016-12-31,2115100100
19,41861,411900201,원미산,소사동구간, ,0.35,쉬움,6,4, , , , , ,2016-12-31,2115100100
20,41862,411900201,원미산,원미동구간, ,0.23,쉬움,4,3, , , , , ,2016-12-31,2115100100
21,41863,411900201,원미산,원미동구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,2115100100
22,41864,411900201,원미산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,2115100100
23,41865,411900201,원미산,원미동구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,2115100100
24,41866,411900201,원미산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,2115100100
25,41867,411900201,원미산,원미동구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,2115100100
26,41868,411900201,원미산, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,2115100100
27,41869,411900201,원미산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,2115100100
28,41870,411900201,원미산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2115100100
29,41871,411900201,원미산, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,2115100100
30,41872,411900201,원미산,역곡동구간, ,0.73,쉬움,13,9, , , , , ,2016-12-31,2115100100
31,41873,411900201,원미산,역곡동구간, ,0.56,쉬움,10,7, , , , , ,2016-12-31,2115100100
32,41874,411900201,원미산,춘의동구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,2115100100
33,41875,411900201,원미산,소사동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,2115100100
34,41876,411900201,원미산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2115100100
35,41877,411900201,원미산,원미동구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,2115100100
36,41878,411900201,원미산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,2115100100
37,41879,411900201,원미산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,2115100100
38,41880,411900201,원미산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,2115100100
39,41881,411900201,원미산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,2115100100
40,41882,411900201,원미산, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,2115100100
41,41883,411900201,원미산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2115100100
42,41884,411900201,원미산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2115100100
43,41885,411900201,원미산, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,2115100100
44,41886,411900201,원미산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2115100100
45,41887,411900201,원미산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2115100100
46,41888,411900201,원미산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,2115100100
47,41889,411900201,원미산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2115100100
48,41890,411900201,원미산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2115100100
49,41891,411900201,원미산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2115100100
50,41892,411900201,원미산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,2115100100
51,41893,411900201,원미산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2115100100
52,41894,411900201,원미산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,2115100100
53,41895,411900201,원미산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,2115100100
54,41896,411900201,원미산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,2115100100
55,41897,411900201,원미산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2115100100
56,41898,411900201,원미산, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,2115100100
57,41899,411900201,원미산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,2115100100
58,41900,411900201,원미산, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,2115100100
59,41901,411900201,원미산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,2115100100
60,41902,411900201,원미산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,2115100100
61,41903,411900201,원미산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2115100100
62,41904,411900201,원미산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2115100100
63,41905,411900201,원미산, , ,0.38,쉬움,7,5, , , , , ,2016-12-31,2115100100
64,41906,411900201,원미산, , ,0.26,쉬움,5,3, , , , , ,2016-12-31,2115100100
