FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,42202,421505201,월대산,입암동구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,421505201
1,42203,421505201,월대산, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,421505201
2,42204,421505201,월대산,두산동구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,421505201
3,42205,421505201,월대산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,421505201
4,42206,421505201,월대산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,421505201
5,42207,421505201,월대산,입암동구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,421505201
6,42208,421505201,월대산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,421505201
7,42209,421505201,월대산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,421505201
8,42210,421505201,월대산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,421505201
9,42211,421505201,월대산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,421505201
10,42212,421505201,월대산, , ,0.37,쉬움,7,5, , , , , ,2016-12-31,421505201
11,42213,421505201,월대산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,421505201
12,42214,421505201,월대산, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,421505201
13,42215,421505201,월대산,입암동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,421505201
14,42216,421505201,월대산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,421505201
15,42217,421505201,월대산, , ,0.31,쉬움,5,4, , , , , ,2016-12-31,421505201
16,42218,421505201,월대산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,421505201
17,42219,421505201,월대산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,421505201
18,42220,421505201,월대산,두산동구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,421505201
