FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,42375,481702601,월아산_월아봉,용아리구간, ,1.01,쉬움,18,12, , , , , ,2016-12-31,2812390200
1,42376,481702601,월아산_월아봉, , ,0.42,쉬움,7,5, , , , , ,2016-12-31,2812390200
2,42377,481702601,월아산_월아봉, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,2812390200
3,42378,481702601,월아산_월아봉, , ,0.39,쉬움,7,5, , , , , ,2016-12-31,2812390200
4,42379,481702601,월아산_월아봉,갈전리구간, ,0.94,쉬움,17,12, , , , , ,2016-12-31,2812390200
5,42380,481702601,월아산_월아봉, , ,0.4,쉬움,7,5, , , , , ,2016-12-31,2812390200
6,42381,481702601,월아산_월아봉, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,2812390200
7,42382,481702601,월아산_월아봉, , ,3.12,쉬움,55,39, , , , , ,2016-12-31,2812390200
8,42383,481702601,월아산_월아봉, , ,1.27,쉬움,22,16, , , , , ,2016-12-31,2812390200
9,42384,481702601,월아산_월아봉, , ,0.31,쉬움,5,4, , , , , ,2016-12-31,2812390200
10,42385,481702601,월아산_월아봉, , ,0.31,쉬움,5,4, , , , , ,2016-12-31,2812390200
11,42386,481702601,월아산_월아봉, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,2812390200
12,42387,481702601,월아산_월아봉, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2812390200
13,42388,481702601,월아산_월아봉, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,2812390200
14,42389,481702601,월아산_월아봉, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,2812390200
15,42390,481702601,월아산_월아봉, , ,0.73,쉬움,13,9, , , , , ,2016-12-31,2812390200
16,42391,481702601,월아산_월아봉, , ,0.3,쉬움,5,4, , , , , ,2016-12-31,2812390200
17,42392,481702601,월아산_월아봉,갈전리구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,2812390200
18,42393,481702601,월아산_월아봉,상문리구간, ,0.79,쉬움,14,10, , , , , ,2016-12-31,2812390200
19,42394,481702601,월아산_월아봉, , ,0.35,쉬움,6,4, , , , , ,2016-12-31,2812390200
20,42395,481702601,월아산_월아봉, , ,0.38,쉬움,7,5, , , , , ,2016-12-31,2812390200
21,42396,481702601,월아산_월아봉, , ,0.5,쉬움,9,6, , , , , ,2016-12-31,2812390200
22,42397,481702601,월아산_월아봉,갈전리구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,2812390200
23,42398,481702601,월아산_월아봉,갈전리구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,2812390200
24,42399,481702601,월아산_월아봉,갈전리구간, ,0.16,쉬움,3,2, , , , , ,2016-12-31,2812390200
25,42400,481702601,월아산_월아봉,장사리구간, ,0.34,쉬움,6,4, , , , , ,2016-12-31,2812390200
26,42401,481702601,월아산_월아봉, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,2812390200
27,42402,481702601,월아산_월아봉,상문리구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,2812390200
28,42403,481702601,월아산_월아봉, , ,0.3,쉬움,5,4, , , , , ,2016-12-31,2812390200
29,42404,481702601,월아산_월아봉, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,2812390200
30,42405,481702601,월아산_월아봉, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2812390200
31,42406,481702601,월아산_월아봉,상문리구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,2812390200
32,42407,481702601,월아산_월아봉,상문리구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,2812390200
33,42408,481702601,월아산_월아봉,상문리구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,2812390200
34,42409,481702601,월아산_월아봉, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2812390200
35,42410,481702601,월아산_월아봉,상문리구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,2812390200
36,42411,481702601,월아산_월아봉,상문리구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,2812390200
37,42412,481702601,월아산_월아봉, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,2812390200
38,42413,481702601,월아산_월아봉, , ,0.3,쉬움,5,4, , , , , ,2016-12-31,2812390200
39,42414,481702601,월아산_월아봉, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,2812390200
40,42415,481702601,월아산_월아봉, , ,0.27,쉬움,5,3, , , , , ,2016-12-31,2812390200
41,42416,481702601,월아산_월아봉, , ,0.48,쉬움,8,6, , , , , ,2016-12-31,2812390200
42,42417,481702601,월아산_월아봉, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,2812390200
43,42418,481702601,월아산_월아봉, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2812390200
44,42419,481702601,월아산_월아봉, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,2812390200
45,42420,481702601,월아산_월아봉, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,2812390200
46,42421,481702601,월아산_월아봉, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2812390200
47,42422,481702601,월아산_월아봉, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2812390200
48,42423,481702601,월아산_월아봉, , ,0.23,쉬움,4,3, , , , , ,2016-12-31,2812390200
49,42424,481702601,월아산_월아봉, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,2812390200
50,42425,481702601,월아산_월아봉, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2812390200
51,42426,481702601,월아산_월아봉, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2812390200
52,42427,481702601,월아산_월아봉, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,2812390200
53,42428,481702601,월아산_월아봉, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,2812390200
54,42429,481702601,월아산_월아봉, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2812390200
55,42430,481702601,월아산_월아봉, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,2812390200
56,42431,481702601,월아산_월아봉, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,2812390200
57,42432,481702601,월아산_월아봉, , ,0.82,쉬움,14,10, , , , , ,2016-12-31,2812390200
58,42433,481702601,월아산_월아봉, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,2812390200
59,42434,481702601,월아산_월아봉, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2812390200
60,42435,481702601,월아산_월아봉, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,2812390200
61,42436,481702601,월아산_월아봉, , ,0.31,쉬움,5,4, , , , , ,2016-12-31,2812390200
62,42437,481702601,월아산_월아봉, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,2812390200
63,42438,481702601,월아산_월아봉, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,2812390200
64,42439,481702601,월아산_월아봉, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,2812390200
65,42440,481702601,월아산_월아봉, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2812390200
66,42441,481702601,월아산_월아봉, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,2812390200
67,42442,481702601,월아산_월아봉, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,2812390200
68,42443,481702601,월아산_월아봉, , ,0.26,쉬움,5,3, , , , , ,2016-12-31,2812390200
69,42444,481702601,월아산_월아봉, , ,0.28,쉬움,5,3, , , , , ,2016-12-31,2812390200
70,42445,481702601,월아산_월아봉, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,2812390200
71,42446,481702601,월아산_월아봉, , ,0.73,쉬움,13,9, , , , , ,2016-12-31,2812390200
72,42447,481702601,월아산_월아봉, , ,0.62,쉬움,11,8, , , , , ,2016-12-31,2812390200
73,42448,481702601,월아산_월아봉, , ,1.36,쉬움,24,17, , , , , ,2016-12-31,2812390200
74,42449,481702601,월아산_월아봉, , ,0.28,쉬움,5,3, , , , , ,2016-12-31,2812390200
75,42450,481702601,월아산_월아봉, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,2812390200
76,42451,481702601,월아산_월아봉, , ,0.24,쉬움,4,3, , , , , ,2016-12-31,2812390200
77,42452,481702601,월아산_월아봉, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2812390200
78,42453,481702601,월아산_월아봉, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2812390200
79,42454,481702601,월아산_월아봉, , ,0.32,쉬움,6,4, , , , , ,2016-12-31,2812390200
80,42455,481702601,월아산_월아봉, , ,0.32,쉬움,6,4, , , , , ,2016-12-31,2812390200
81,42456,481702601,월아산_월아봉, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,2812390200
82,42457,481702601,월아산_월아봉, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,2812390200
