FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,44282,448001601,일월산,오봉리구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,2416112000
1,44283,448001601,일월산,월산리구간, ,0.32,쉬움,6,4, , , , , ,2016-12-31,2416112000
2,44284,448001601,일월산,중계리구간, ,0.5,쉬움,9,6, , , , , ,2016-12-31,2416112000
3,44285,448001601,일월산, , ,0.37,쉬움,7,5, , , , , ,2016-12-31,2416112000
4,44286,448001601,일월산, , ,0.82,쉬움,14,10, , , , , ,2016-12-31,2416112000
5,44287,448001601,일월산,월산리구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,2416112000
6,44288,448001601,일월산,월산리구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,2416112000
7,44289,448001601,일월산,월산리구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,2416112000
8,44290,448001601,일월산,월산리구간, ,0.39,쉬움,7,5, , , , , ,2016-12-31,2416112000
9,44291,448001601,일월산, , ,0.23,쉬움,4,3, , , , , ,2016-12-31,2416112000
10,44292,448001601,일월산,월산리구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,2416112000
11,44293,448001601,일월산,월산리구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,2416112000
12,44294,448001601,일월산,월산리구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,2416112000
13,44295,448001601,일월산,월산리구간, ,0.6,쉬움,11,7, , , , , ,2016-12-31,2416112000
14,44296,448001601,일월산, , ,0.36,쉬움,6,4, , , , , ,2016-12-31,2416112000
15,44297,448001601,일월산,중계리구간, ,0.21,쉬움,4,3, , , , , ,2016-12-31,2416112000
16,44298,448001601,일월산,낙상리구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,2416112000
17,44299,448001601,일월산, , ,0.53,쉬움,9,7, , , , , ,2016-12-31,2416112000
18,44300,448001601,일월산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,2416112000
19,44301,448001601,일월산,오봉리구간, ,0.31,쉬움,5,4, , , , , ,2016-12-31,2416112000
20,44302,448001601,일월산,오봉리구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,2416112000
21,44303,448001601,일월산,월산리구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,2416112000
22,44304,448001601,일월산,월산리구간, ,0.21,쉬움,4,3, , , , , ,2016-12-31,2416112000
23,44305,448001601,일월산, , ,0.68,쉬움,12,8, , , , , ,2016-12-31,2416112000
24,44306,448001601,일월산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,2416112000
25,44307,448001601,일월산, , ,0.63,쉬움,11,8, , , , , ,2016-12-31,2416112000
26,44308,448001601,일월산, , ,0.55,쉬움,10,7, , , , , ,2016-12-31,2416112000
27,44309,448001601,일월산,중계리구간, ,0.71,쉬움,13,9, , , , , ,2016-12-31,2416112000
28,44310,448001601,일월산,월산리구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,2416112000
29,44311,448001601,일월산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2416112000
30,44312,448001601,일월산,월산리구간, ,1.88,쉬움,47,33, , , , , ,2016-12-31,2416112000
31,44313,448001601,일월산,오봉리구간, ,0.87,쉬움,19,13, , , , , ,2016-12-31,2416112000
32,44314,448001601,일월산,오봉리구간, ,2.51,쉬움,75,53, , , , , ,2016-12-31,2416112000
