FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,44338,461101001,임암산,용해동구간, ,0.3,쉬움,5,4, , , , , ,2016-12-31,461101001
1,44339,461101001,임암산,용해동구간, ,0.51,쉬움,9,6, , , , , ,2016-12-31,461101001
2,44340,461101001,임암산,용해동구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,461101001
3,44341,461101001,임암산,상동구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,461101001
4,44342,461101001,임암산,상동구간, ,0.28,쉬움,5,3, , , , , ,2016-12-31,461101001
5,44343,461101001,임암산,용해동구간, ,0.53,쉬움,9,7, , , , , ,2016-12-31,461101001
6,44344,461101001,임암산,용해동구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,461101001
7,44345,461101001,임암산,상동구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,461101001
8,44346,461101001,임암산,상동구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,461101001
9,44347,461101001,임암산,상동구간, ,0.28,쉬움,5,3, , , , , ,2016-12-31,461101001
10,44348,461101001,임암산,상동구간, ,0.21,쉬움,4,3, , , , , ,2016-12-31,461101001
11,44349,461101001,임암산,상동구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,461101001
12,44350,461101001,임암산,상동구간, ,0.21,쉬움,4,3, , , , , ,2016-12-31,461101001
13,44351,461101001,임암산,상동구간, ,0.37,쉬움,7,5, , , , , ,2016-12-31,461101001
14,44352,461101001,임암산,상동구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,461101001
15,44353,461101001,임암산,상동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,461101001
16,44354,461101001,임암산,상동구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,461101001
17,44355,461101001,임암산,용해동구간, ,0.37,쉬움,7,5, , , , , ,2016-12-31,461101001
18,44356,461101001,임암산,용해동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,461101001
19,44357,461101001,임암산,용해동구간, ,0.24,쉬움,4,3, , , , , ,2016-12-31,461101001
20,44358,461101001,임암산,상동구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,461101001
