FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,44367,482503401,임호산,흥동구간, ,0.32,쉬움,6,4, , , , , ,2016-12-31,482503401
1,44368,482503401,임호산,흥동구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,482503401
2,44369,482503401,임호산,흥동구간, ,0.39,중간,7,5, , , , , ,2016-12-31,482503401
3,44370,482503401,임호산,흥동구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,482503401
4,44371,482503401,임호산,흥동구간, ,0.43,쉬움,8,6, , , , , ,2016-12-31,482503401
5,44372,482503401,임호산,외동구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,482503401
6,44373,482503401,임호산,흥동구간, ,0.47,쉬움,8,6, , , , , ,2016-12-31,2804332800
7,44374,482503401,임호산,외동구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,2804332800
8,44375,482503401,임호산,외동구간, ,0.64,쉬움,12,8, , , , , ,2016-12-31,2804332800
9,44376,482503401,임호산, , ,0.26,쉬움,5,3, , , , , ,2016-12-31,2804332800
10,44377,482503401,임호산, , ,0.27,쉬움,5,3, , , , , ,2016-12-31,2804332800
11,44378,482503401,임호산,외동구간, ,0.42,쉬움,7,5, , , , , ,2016-12-31,2804332800
12,44379,482503401,임호산,흥동구간, ,0.28,쉬움,5,3, , , , , ,2016-12-31,2804332800
13,44380,482503401,임호산,외동구간, ,0.45,쉬움,8,6, , , , , ,2016-12-31,2804332800
14,44381,482503401,임호산, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,2804332800
15,44382,482503401,임호산,흥동구간, ,0.21,쉬움,4,3, , , , , ,2016-12-31,2804332800
16,44383,482503401,임호산, , ,0.37,쉬움,7,5, , , , , ,2016-12-31,2804332800
17,44384,482503401,임호산, , ,0.34,쉬움,6,4, , , , , ,2016-12-31,2804332800
18,44385,482503401,임호산,외동구간, ,0.47,쉬움,8,6, , , , , ,2016-12-31,2804332800
19,44386,482503401,임호산,외동구간, ,0.32,쉬움,6,4, , , , , ,2016-12-31,2804332800
20,44387,482503401,임호산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,2804332800
21,44388,482503401,임호산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,2804332800
22,44389,482503401,임호산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,2804332800
23,44390,482503401,임호산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,2804332800
24,44391,482503401,임호산, , ,0.27,쉬움,5,3, , , , , ,2016-12-31,2804332800
25,44392,482503401,임호산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,2804332800
26,44393,482503401,임호산, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,2804332800
27,44394,482503401,임호산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,2804332800
28,44395,482503401,임호산, , ,0.28,쉬움,5,3, , , , , ,2016-12-31,2804332800
29,44396,482503401,임호산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,2804332800
30,44397,482503401,임호산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,2804332800
31,44398,482503401,임호산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,2804332800
32,44399,482503401,임호산, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,2804332800
33,44400,482503401,임호산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,2804332800
34,44401,482503401,임호산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,2804332800
35,44402,482503401,임호산,외동구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,2804332800
36,44403,482503401,임호산,흥동구간, ,0.24,쉬움,4,3, , , , , ,2016-12-31,2804332800
37,44404,482503401,임호산,흥동구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,2804332800
38,44405,482503401,임호산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2804332800
39,44406,482503401,임호산, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,2804332800
40,44407,482503401,임호산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,2804332800
41,44408,482503401,임호산,흥동구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,2804332800
