FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,44473,482706601,자시산성산,멍에실임도구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,482706601
1,44474,482706601,자시산성산,멍에실마을입구-구서원재구간,구서원재/자시산성터,1.26,쉬움,22,16, , , , , ,2016-12-31,482706601
2,44475,482706601,자시산성산,멍에실마을입구-구서원재구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,482706601
3,44476,482706601,자시산성산,멍에실마을입구-구서원재구간, ,0.64,쉬움,11,8, , , , , ,2016-12-31,482706601
4,44477,482706601,자시산성산,멍에실마을입구-구서원재구간, ,0.47,쉬움,8,6, , , , , ,2016-12-31,482706601
5,44478,482706601,자시산성산,멍에실마을입구-구서원재구간,페러활공장,0.58,쉬움,10,7, , , , , ,2016-12-31,482706601
6,44479,482706601,자시산성산,남포리 버스정류장구간, ,1.08,쉬움,19,13, , , , , ,2016-12-31,482706601
7,44480,482706601,자시산성산,멍에실마을입구-구서원재구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,482706601
8,44481,482706601,자시산성산,멍에실마을 회관앞구간, ,0.44,쉬움,8,5, , , , , ,2016-12-31,482706601
9,44482,482706601,자시산성산,멍에실임도구간,계곡횡단,0.35,쉬움,7,5, , , , , ,2016-12-31,482706601
10,44483,482706601,자시산성산,멍에실임도구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,482706601
