FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,44637,277104301,잠용산,남리구간, ,0.35,쉬움,6,4, , , , , ,2016-12-31,277104301
1,44638,277104301,잠용산,하리구간, ,0.3,쉬움,5,4, , , , , ,2016-12-31,277104301
2,44639,277104301,잠용산,하리구간, ,0.39,쉬움,7,5, , , , , ,2016-12-31,277104301
3,44640,277104301,잠용산,북리구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,277104301
4,44641,277104301,잠용산,북리구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,277104301
5,44642,277104301,잠용산,남리구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,277104301
6,44643,277104301,잠용산,하리구간, ,0.82,쉬움,21,14, , , , , ,2016-12-31,277104301
7,44644,277104301,잠용산,북리구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,277104301
8,44645,277104301,잠용산,남리구간, ,0.23,쉬움,4,3, , , , , ,2016-12-31,277104301
9,44646,277104301,잠용산,하리구간, ,0.57,쉬움,10,7, , , , , ,2016-12-31,277104301
10,44647,277104301,잠용산,북리구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,277104301
11,44648,277104301,잠용산,북리구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,277104301
12,44649,277104301,잠용산,북리구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,277104301
13,44650,277104301,잠용산,북리구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,277104301
14,44651,277104301,잠용산,북리구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,277104301
15,44652,277104301,잠용산,북리구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,277104301
16,44653,277104301,잠용산,북리구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,277104301
17,44654,277104301,잠용산,북리구간, ,0.44,쉬움,8,5, , , , , ,2016-12-31,277104301
18,44655,277104301,잠용산,북리구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,277104301
19,44656,277104301,잠용산,북리구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,277104301
20,44657,277104301,잠용산,북리구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,277104301
21,44658,277104301,잠용산,북리구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,277104301
22,44659,277104301,잠용산,남리구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,277104301
23,44660,277104301,잠용산,북리구간, ,0.31,쉬움,5,4, , , , , ,2016-12-31,277104301
24,44661,277104301,잠용산,남리구간, ,0.51,중간,13,9, , , , , ,2016-12-31,277104301
25,44662,277104301,잠용산,남리구간, ,0.34,쉬움,6,4, , , , , ,2016-12-31,277104301
26,44663,277104301,잠용산,하리구간, ,0.53,쉬움,9,7, , , , , ,2016-12-31,277104301
27,44664,277104301,잠용산,남리구간, ,0.97,쉬움,29,20, , , , , ,2016-12-31,277104301
28,44665,277104301,잠용산,북리구간, ,0.64,쉬움,11,8, , , , , ,2016-12-31,277104301
29,44666,277104301,잠용산,북리구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,277104301
30,44667,277104301,잠용산,하리구간, ,0.16,쉬움,3,2, , , , , ,2016-12-31,277104301
31,44668,277104301,잠용산,하리구간, ,0.49,쉬움,9,6, , , , , ,2016-12-31,277104301
32,44669,277104301,잠용산,남리구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,277104301
33,44670,277104301,잠용산,북리구간, ,0.12,쉬움,2,1, , , , , ,2016-12-31,277104301
34,44671,277104301,잠용산,북리구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,277104301
35,44672,277104301,잠용산,북리구간, ,0.29,쉬움,5,4, , , , , ,2016-12-31,277104301
