FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,44909,472901301,장군산,부호리구간, ,1.94,쉬움,42,29, , ,Y, , ,2016-12-31,472901301
1,44910,472901301,장군산, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,472901301
2,44911,472901301,장군산, , ,1.23,쉬움,22,15, , , , , ,2016-12-31,472901301
3,44912,472901301,장군산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,472901301
4,44913,472901301,장군산, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,472901301
5,44914,472901301,장군산, , ,0.21,쉬움,4,3, , ,Y, , ,2016-12-31,472901301
6,44915,472901301,장군산, , ,1.36,쉬움,24,17, , , , , ,2016-12-31,472901301
7,44916,472901301,장군산,대곡리구간, ,0.43,쉬움,8,5, , , , , ,2016-12-31,472901301
8,44917,472901301,장군산, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,472901301
9,44918,472901301,장군산,부호리구간, ,0.84,쉬움,16,11, , ,Y, , ,2016-12-31,472901301
10,44919,472901301,장군산,금락리구간, ,1.01,쉬움,19,13, , , , , ,2016-12-31,472901301
11,44920,472901301,장군산, , ,0.52,쉬움,9,6, , , , , ,2016-12-31,472901301
12,44921,472901301,장군산, , ,0.28,쉬움,5,3, , , , , ,2016-12-31,472901301
13,44922,472901301,장군산,대곡리구간, ,1.77,쉬움,33,23, , , , , ,2016-12-31,472901301
14,44923,472901301,장군산,대곡리구간, ,0.9,쉬움,16,11, , , , , ,2016-12-31,472901301
