FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,45041,427604101,장미산,계촌리구간, ,7.04,쉬움,264,185, , , , , ,2016-12-31,2215043100
1,45042,427604101,장미산, , ,0.94,쉬움,17,12, , , , , ,2016-12-31,2215043100
2,45043,427604101,장미산, , ,1.21,중간,45,32, , , , , ,2016-12-31,2215043100
3,45044,427604101,장미산, , ,2.34,쉬움,41,29, , , , , ,2016-12-31,2215043100
4,45045,427604101,장미산, , ,0.86,쉬움,15,11, , , , , ,2016-12-31,2215043100
5,45046,427604101,장미산, , ,1.92,쉬움,34,24, , , , , ,2016-12-31,2215043100
6,45047,427604101,장미산, , ,1.39,쉬움,25,17, , , , , ,2016-12-31,2215043100
7,45048,427604101,장미산,개수리구간, ,0.5,쉬움,9,6, , , , , ,2016-12-31,2215043100
8,45049,427604101,장미산, , ,0.93,쉬움,20,14, , , , , ,2016-12-31,2215043100
9,45050,427604101,장미산, , ,3.43,쉬움,61,42, , , , , ,2016-12-31,2215043100
10,45051,427604101,장미산, , ,0.44,쉬움,8,5, , , , , ,2016-12-31,2215043100
11,45052,427604101,장미산, , ,2.04,쉬움,36,25, , , , , ,2016-12-31,2215043100
12,45053,427604101,장미산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,2215043100
