FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,45551,482704101,재약산,이천리구간, ,0.25,쉬움,4,3, , , , , ,2016-12-31,317103601
1,45552,482704101,재약산, , ,1.39,쉬움,25,17, , , , , ,2016-12-31,317103601
2,45553,482704101,재약산, , ,0.6,쉬움,11,7, , , , , ,2016-12-31,317103601
3,45554,482704101,재약산, , ,0.41,쉬움,7,5, , , , , ,2016-12-31,317103601
4,45555,482704101,재약산, , ,2.05,쉬움,36,25, , , , , ,2016-12-31,317103601
5,45556,482704101,재약산,이천리구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,317103601
6,45557,482704101,재약산,이천리구간, ,1.73,쉬움,31,21, , , , , ,2016-12-31,317103601
7,45558,482704101,재약산,이천리구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,317103601
8,45559,482704101,재약산,이천리구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,317103601
9,45560,482704101,재약산,이천리구간, ,0.24,쉬움,4,3, , , , , ,2016-12-31,317103601
10,45561,482704101,재약산,이천리구간, ,0.79,쉬움,14,10, , , , , ,2016-12-31,317103601
11,45562,482704101,재약산,구천리구간, ,1.51,쉬움,27,19, , , , , ,2016-12-31,482704101
12,45563,482704101,재약산,구천리구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,482704101
13,45564,482704101,재약산,구천리구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,482704101
14,45565,482704101,재약산,구천리구간, ,0.12,쉬움,2,1, , , , , ,2016-12-31,482704101
15,45566,482704101,재약산, , ,1.06,쉬움,23,16, , , , , ,2016-12-31,482704101
16,45567,482704101,재약산,구천리구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,482704101
17,45568,482704101,재약산,구천리구간, ,1.01,쉬움,18,12, , , , , ,2016-12-31,482704101
18,45569,482704101,재약산,구천리구간, ,0.48,쉬움,8,6, , , , , ,2016-12-31,482704101
19,45570,482704101,재약산,구천리구간, ,0.58,쉬움,10,7, , , , , ,2016-12-31,482704101
20,45571,482704101,재약산,구천리구간, ,0.51,쉬움,9,6, , , , , ,2016-12-31,482704101
21,45572,482704101,재약산,구천리구간, ,0.36,쉬움,6,4, , , , , ,2016-12-31,482704101
22,45573,482704101,재약산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,482704101
23,45574,482704101,재약산,구천리구간, ,0.97,쉬움,17,12, , , , , ,2016-12-31,482704101
24,45575,482704101,재약산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,482704101
25,45576,482704101,재약산,구천리구간, ,0.95,쉬움,17,12, , , , , ,2016-12-31,482704101
26,45577,482704101,재약산, , ,0.54,쉬움,10,7, , , , , ,2016-12-31,482704101
27,45578,482704101,재약산, , ,0.94,쉬움,17,12, , , , , ,2016-12-31,317103601
28,45579,482704101,재약산, , ,0.89,쉬움,16,11, , , , , ,2016-12-31,482704101
29,45580,482704101,재약산,이천리구간, ,1.06,쉬움,19,13, , , , , ,2016-12-31,317103601
30,45581,482704101,재약산,구천리구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,317103601
31,45582,482704101,재약산,이천리구간, ,0.69,쉬움,12,9, , , , , ,2016-12-31,482704101
32,45583,482704101,재약산,이천리구간, ,1.35,중간,51,35, , , , , ,2016-12-31,317103601
33,45584,482704101,재약산,구천리구간, ,0.24,쉬움,4,3, , , , , ,2016-12-31,317103601
34,45585,482704101,재약산,구천리구간, ,3.7,쉬움,65,46, , , , , ,2016-12-31,2807063600
35,45586,482704101,재약산,삼양리구간, ,1.87,쉬움,33,23, , , , , ,2016-12-31,2807063600
36,45587,482704101,재약산,구천리구간, ,3.18,쉬움,56,39, , , , , ,2016-12-31,2807063600
37,45588,482704101,재약산,구천리구간, ,1.57,쉬움,28,19, , , , , ,2016-12-31,2807063600
38,45589,482704101,재약산, , ,1.29,쉬움,23,16, , , , , ,2016-12-31,2807063600
39,45590,482704101,재약산, , ,1.29,쉬움,23,16, , , , , ,2016-12-31,2807063600
40,45591,482704101,재약산, , ,3.54,쉬움,62,44, , , , , ,2016-12-31,2807063600
41,45592,482704101,재약산,이천리구간, ,3.21,쉬움,57,40, , , , , ,2016-12-31,2807063600
42,45593,482704101,재약산,구천리구간, ,3.08,쉬움,54,38, , , , , ,2016-12-31,2807063600
43,45594,482704101,재약산, , ,2.44,쉬움,43,30, , , , , ,2016-12-31,2807063600
44,45595,482704101,재약산,이천리구간, ,2.1,쉬움,79,55, , , , , ,2016-12-31,2807063600
45,45596,482704101,재약산, , ,1.11,쉬움,20,14, , , , , ,2016-12-31,2807063600
46,45597,482704101,재약산,구천리구간, ,0.28,쉬움,5,3, , , , , ,2016-12-31,2807063600
47,45598,482704101,재약산,구천리구간, ,0.23,쉬움,4,3, , , , , ,2016-12-31,2807063600
48,45599,482704101,재약산,이천리구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,2807063600
49,45600,482704101,재약산, , ,2.8,쉬움,49,35, , , , , ,2016-12-31,2807063600
50,45601,482704101,재약산, , ,0.93,쉬움,16,11, , , , , ,2016-12-31,2807063600
51,45602,482704101,재약산, , ,0.74,쉬움,13,9, , , , , ,2016-12-31,2807063600
52,45603,482704101,재약산, , ,0.38,쉬움,7,5, , , , , ,2016-12-31,2807063600
