FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,45747,457301901,적상산,사산리구간, ,3.63,쉬움,64,45, , , , , ,2016-12-31,457301901
1,45748,457301901,적상산,사천리구간, ,1.62,쉬움,61,43, , , , , ,2016-12-31,457301901
2,45749,457301901,적상산,사천리구간, ,0.49,쉬움,9,6, , , , , ,2016-12-31,457301901
3,45750,457301901,적상산,사천리구간, ,0.43,쉬움,8,5, , , , , ,2016-12-31,457301901
4,45751,457301901,적상산,당산리구간, ,0.9,쉬움,16,11, , , , , ,2016-12-31,457301901
5,45752,457301901,적상산,당산리구간, ,5.76,쉬움,102,71, , , , , ,2016-12-31,2505061400
6,45753,457301901,적상산,괴목리구간, ,0.89,쉬움,16,11, , , , , ,2016-12-31,2505061400
7,45754,457301901,적상산,사산리구간, ,1.21,쉬움,21,15, , , , , ,2016-12-31,457301901
8,45755,457301901,적상산,괴목리구간, ,0.52,쉬움,9,6, , , , , ,2016-12-31,2505061400
9,45756,457301901,적상산,당산리구간, ,1.42,쉬움,25,18, , , , , ,2016-12-31,2505061400
