FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,45757,481502401,적석산,일암저수지구간,일암저수지-정상,1.6,쉬움,28,20,"암석,토사", , ,정상아래 암반주의,Y,2016-12-31,2806592600
1,45758,481502401,적석산,일암리구간, ,1.4,쉬움,53,37,"암석,토사", , , , ,2016-12-31,2806592600
2,45759,481502401,적석산,일암리구간, ,1.71,쉬움,51,36,"암석,토사", , , , ,2016-12-31,2806592600
3,45760,481502401,적석산, , ,0.57,쉬움,10,7,"암석,토사", , , , ,2016-12-31,2806592600
4,45761,481502401,적석산, , ,0.31,쉬움,5,4,"암석,토사", , , , ,2016-12-31,2806592600
5,45762,481502401,적석산,삼덕리구간, ,0.85,쉬움,16,11,"암석,토사", , , , ,2016-12-31,2806592600
6,45763,481502401,적석산,주평리구간, ,1.23,쉬움,22,15,"암석,토사", , , , ,2016-12-31,2806592600
7,45764,481502401,적석산,삼덕리구간, ,1.11,쉬움,20,14,"암석,토사", , , , ,2016-12-31,2806592600
8,45765,481502401,적석산,봉암리구간, ,2.69,쉬움,47,33,"암석,토사", , , , ,2016-12-31,2806592600
9,45766,481502401,적석산,삼덕리구간, ,0.76,쉬움,13,9,"암석,토사", , , , ,2016-12-31,2806592600
10,45767,481502401,적석산, , ,0.87,쉬움,15,11,"암석,토사", , , , ,2016-12-31,2806592600
11,45768,481502401,적석산,일암리구간, ,0.57,중간,12,9,"암석,토사", , , , ,2016-12-31,2806592600
12,45769,481502401,적석산,일암리구간, ,1.21,쉬움,21,15,"암석,토사", , , , ,2016-12-31,2806592600
13,45770,481502401,적석산, , ,0.69,쉬움,12,9,"암석,토사", , , , ,2016-12-31,2806592600
14,45771,481502401,적석산, , ,0.36,쉬움,6,4,"암석,토사", , , , ,2016-12-31,2806592600
15,45772,481502401,적석산, , ,0.74,쉬움,13,9,"암석,토사", , , , ,2016-12-31,2806592600
16,45773,481502401,적석산, , ,0.89,쉬움,16,11,"암석,토사", , , , ,2016-12-31,2806592600
17,45774,481502401,적석산, , ,0.97,쉬움,17,12,"암석,토사", , , , ,2016-12-31,2806592600
18,45775,481502401,적석산, , ,0.7,쉬움,12,9,"암석,토사", , , , ,2016-12-31,2806592600
19,45776,481502401,적석산,화림리구간, ,0.3,쉬움,5,4,"암석,토사", , , , ,2016-12-31,2806592600
20,45777,481502401,적석산, , ,1.0,쉬움,18,12,"암석,토사", , , , ,2016-12-31,2806592600
21,45778,481502401,적석산, , ,0.2,쉬움,4,2,"암석,토사", , , , ,2016-12-31,2806592600
22,45779,481502401,적석산, , ,0.05,쉬움,1,1,"암석,토사", , , , ,2016-12-31,2806592600
23,45780,481502401,적석산, , ,0.02,쉬움,1,0,"암석,토사", , , , ,2016-12-31,2806592600
