FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,45781,302001401,적오산,화암동구간, ,0.55,쉬움,10,7, , , , , ,2016-12-31,302001401
1,45782,302001401,적오산,덕진동구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,302001401
2,45783,302001401,적오산,화암동구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,302001401
3,45784,302001401,적오산,방현동구간, ,0.24,쉬움,4,3, , , , , ,2016-12-31,302001401
4,45785,302001401,적오산,덕진동구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,302001401
5,45786,302001401,적오산,방현동구간, ,0.69,쉬움,12,9, , , , , ,2016-12-31,302001401
6,45787,302001401,적오산,화암동구간, ,0.84,쉬움,15,10, , , , , ,2016-12-31,302001401
7,45788,302001401,적오산,덕진동구간, ,0.76,쉬움,13,9, , , , , ,2016-12-31,302001401
8,45789,302001401,적오산,덕진동구간, ,0.27,쉬움,5,3, , , , , ,2016-12-31,302001401
9,45790,302001401,적오산,화암동구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,302001401
10,45791,302001401,적오산,화암동구간, ,0.51,쉬움,9,6, , , , , ,2016-12-31,302001401
11,45792,302001401,적오산,덕진동구간, ,0.49,쉬움,9,6, , , , , ,2016-12-31,302001401
12,45793,302001401,적오산,덕진동구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,302001401
13,45794,302001401,적오산,덕진동구간, ,0.85,쉬움,15,11, , , , , ,2016-12-31,302001401
