FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,45950,416102101,정광산, , ,1.98,쉬움,35,24, , , , , ,2016-12-31,2107031700
1,45951,416102101,정광산, , ,1.57,쉬움,28,19, , , , , ,2016-12-31,2107031700
2,45952,416102101,정광산, , ,0.79,쉬움,14,10, , , , , ,2016-12-31,2107031700
3,45953,416102101,정광산, , ,0.85,쉬움,15,11, , , , , ,2016-12-31,2107031700
4,45954,416102101,정광산, , ,0.73,쉬움,13,9, , , , , ,2016-12-31,2107031700
5,45955,416102101,정광산,궁평리구간, ,1.0,쉬움,18,12, , , , , ,2016-12-31,2107031700
6,45956,416102101,정광산,왕산리구간, ,1.14,쉬움,34,24, , , , , ,2016-12-31,2107031700
7,45957,416102101,정광산, , ,0.6,쉬움,11,7, , , , , ,2016-12-31,2107031700
8,45958,416102101,정광산, , ,0.41,쉬움,7,5, , , , , ,2016-12-31,2107031700
9,45959,416102101,정광산, , ,0.34,쉬움,6,4, , , , , ,2016-12-31,2107031700
10,45960,416102101,정광산, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,2107031700
11,45961,416102101,정광산,매산리구간, ,1.17,쉬움,21,14, , , , , ,2016-12-31,2107031700
12,45962,416102101,정광산,왕산리구간, ,0.91,쉬움,16,11, , , , , ,2016-12-31,2107031700
13,45963,416102101,정광산,산이리구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,2107031700
14,45964,416102101,정광산,산이리구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,2107031700
15,45965,416102101,정광산,산이리구간, ,2.59,쉬움,46,32, , , , , ,2016-12-31,2107031700
16,45966,416102101,정광산,산이리구간, ,0.41,쉬움,7,5, , , , , ,2016-12-31,2107031700
17,45967,416102101,정광산, , ,0.76,쉬움,13,9, , , , , ,2016-12-31,2107031700
18,45968,416102101,정광산, , ,0.81,쉬움,17,12, , , , , ,2016-12-31,2107031700
19,45969,416102101,정광산,초부리구간, ,2.11,쉬움,37,26, , , , , ,2016-12-31,2107031700
20,45970,416102101,정광산,왕산리구간, ,0.45,쉬움,8,6, , , , , ,2016-12-31,2107031700
21,45971,416102101,정광산, , ,0.46,쉬움,8,6, , , , , ,2016-12-31,2107031700
22,45972,416102101,정광산, , ,0.83,쉬움,15,10, , , , , ,2016-12-31,2107031700
23,45973,416102101,정광산, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,2107031700
24,45974,416102101,정광산, , ,0.46,쉬움,8,6, , , , , ,2016-12-31,2107031700
25,45975,416102101,정광산, , ,0.52,쉬움,9,6, , , , , ,2016-12-31,2107031700
26,45976,416102101,정광산, , ,0.4,쉬움,7,5, , , , , ,2016-12-31,2107031700
27,45977,416102101,정광산, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,2107031700
28,45978,416102101,정광산, , ,0.27,쉬움,5,3, , , , , ,2016-12-31,2107031700
29,45979,416102101,정광산, , ,0.48,쉬움,8,6, , , , , ,2016-12-31,2107031700
30,45980,416102101,정광산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,2107031700
31,45981,416102101,정광산, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,2107031700
32,45982,416102101,정광산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2107031700
33,45983,416102101,정광산, , ,0.65,쉬움,11,8, , , , , ,2016-12-31,2107031700
34,45984,416102101,정광산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,2107031700
35,45985,416102101,정광산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,2107031700
36,45986,416102101,정광산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,2107031700
37,45987,416102101,정광산, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,2107031700
38,45988,416102101,정광산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2107031700
39,45989,416102101,정광산,매산리구간, ,0.47,쉬움,8,6, , , , , ,2016-12-31,2107031700
40,45990,416102101,정광산, , ,0.38,쉬움,7,5, , , , , ,2016-12-31,2107031700
41,45991,416102101,정광산, , ,0.51,쉬움,9,6, , , , , ,2016-12-31,2107031700
42,45992,416102101,정광산, , ,0.7,쉬움,12,9, , , , , ,2016-12-31,2107031700
43,45993,416102101,정광산, , ,0.4,쉬움,7,5, , , , , ,2016-12-31,2107031700
44,45994,416102101,정광산, , ,0.65,쉬움,11,8, , , , , ,2016-12-31,2107031700
45,45995,416102101,정광산, , ,0.53,쉬움,9,7, , , , , ,2016-12-31,2107031700
46,45996,416102101,정광산, , ,0.27,쉬움,5,3, , , , , ,2016-12-31,2107031700
47,45997,416102101,정광산, , ,1.57,쉬움,28,19, , , , , ,2016-12-31,2107031700
48,45998,416102101,정광산, , ,1.36,쉬움,24,17, , , , , ,2016-12-31,2107031700
