FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,46056,488605101,정수산,율현리구간, ,0.57,쉬움,10,7, , , , , ,2016-12-31,2809034800
1,46057,488605101,정수산,내수리구간, ,0.03,중간,1,0, , , , , ,2016-12-31,2809034800
2,46058,488605101,정수산,척지리구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,2809034800
3,46059,488605101,정수산,율현리구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,2809034800
4,46060,488605101,정수산,율현리구간, ,2.18,쉬움,38,27, , , , , ,2016-12-31,2809034800
5,46061,488605101,정수산,율현리구간, ,0.36,쉬움,6,4, , , , , ,2016-12-31,2809034800
6,46062,488605101,정수산,내수리구간, ,0.87,쉬움,15,11, , , , , ,2016-12-31,2809034800
7,46063,488605101,정수산,내수리구간, ,0.72,쉬움,13,9, , , , , ,2016-12-31,2809034800
8,46064,488605101,정수산,정곡리구간, ,1.74,쉬움,65,46, , , , , ,2016-12-31,2809034800
9,46065,488605101,정수산,척지리구간, ,1.18,쉬움,21,15, , , , , ,2016-12-31,2809034800
10,46066,488605101,정수산,척지리구간, ,0.39,쉬움,7,5, , , , , ,2016-12-31,2809034800
11,46067,488605101,정수산,내수리구간, ,1.06,쉬움,19,13, , , , , ,2016-12-31,2809034800
12,46068,488605101,정수산,철수리구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,2809034800
13,46069,488605101,정수산,내수리구간, ,2.05,쉬움,36,25, , , , , ,2016-12-31,2809034800
14,46070,488605101,정수산,철수리구간, ,0.32,쉬움,6,4, , , , , ,2016-12-31,2809034800
15,46071,488605101,정수산,철수리구간, ,0.32,쉬움,6,4, , , , , ,2016-12-31,2809034800
16,46072,488605101,정수산,내수리구간, ,0.65,쉬움,11,8, , , , , ,2016-12-31,2809034800
17,46073,488605101,정수산,내수리구간, ,0.67,쉬움,12,8, , , , , ,2016-12-31,2809034800
18,46074,488605101,정수산,척지리구간, ,0.78,쉬움,14,10, , , , , ,2016-12-31,2809034800
19,46075,488605101,정수산,척지리구간, ,1.23,쉬움,26,18, , , , , ,2016-12-31,2809034800
20,46076,488605101,정수산,척지리구간, ,0.92,쉬움,16,11, , , , , ,2016-12-31,2809034800
21,46077,488605101,정수산,내수리구간, ,0.47,쉬움,8,6, , , , , ,2016-12-31,2809034800
22,46078,488605101,정수산,내수리구간, ,1.25,쉬움,22,15, , , , , ,2016-12-31,2809034800
23,46079,488605101,정수산,내수리구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,2809034800
24,46080,488605101,정수산,내수리구간, ,0.68,쉬움,12,8, , , , , ,2016-12-31,2809034800
25,46081,488605101,정수산,내수리구간, ,1.61,쉬움,28,20, , , , , ,2016-12-31,2809034800
26,46082,488605101,정수산,내수리구간, ,0.45,쉬움,8,6, , , , , ,2016-12-31,2809034800
27,46083,488605101,정수산,내수리구간, ,1.41,쉬움,25,17, , , , , ,2016-12-31,2809034800
28,46084,488605101,정수산,내수리구간, ,4.17,쉬움,74,52, , , , , ,2016-12-31,2809034800
29,46085,488605101,정수산,율현리구간, ,0.28,쉬움,5,3, , , , , ,2016-12-31,2809034800
30,46086,488605101,정수산,율현리구간, ,1.8,쉬움,45,32, , , , , ,2016-12-31,2809034800
31,46087,488605101,정수산,율현리구간, ,1.19,쉬움,21,15, , , , , ,2016-12-31,2809034800
32,46088,488605101,정수산,철수리구간, ,0.69,쉬움,12,9, , , , , ,2016-12-31,2809034800
33,46089,488605101,정수산,철수리구간, ,1.74,쉬움,31,21, , , , , ,2016-12-31,2809034800
34,46090,488605101,정수산,철수리구간, ,0.44,쉬움,8,5, , , , , ,2016-12-31,2809034800
35,46091,488605101,정수산,내수리구간, ,2.54,쉬움,45,31, , , , , ,2016-12-31,2809034800
