FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,46118,317103701,정족산,용연리구간, ,0.42,쉬움,7,5, , , , , ,2016-12-31,483301701
1,46119,317103701,정족산,용연리구간, ,0.28,쉬움,5,3, , , , , ,2016-12-31,483301701
2,46120,317103701,정족산,용연리구간, ,2.4,쉬움,42,30, , , , , ,2016-12-31,483301701
3,46121,317103701,정족산,용연리구간, ,0.89,쉬움,16,11, , , , , ,2016-12-31,483301701
4,46122,317103701,정족산,용연리구간, ,0.52,쉬움,9,6, , , , , ,2016-12-31,483301701
5,46123,317103701,정족산, , ,1.07,쉬움,19,13, , , , , ,2016-12-31,483301701
6,46124,317103701,정족산,용연리구간, ,0.32,쉬움,6,4, , , , , ,2016-12-31,483301701
7,46125,317103701,정족산, , ,0.43,쉬움,8,5, , , , , ,2016-12-31,483301701
8,46126,317103701,정족산,백록리구간, ,0.34,쉬움,6,4, , , , , ,2016-12-31,483301701
9,46127,317103701,정족산,용연리구간, ,1.21,쉬움,21,15, , , , , ,2016-12-31,483301701
10,46128,317103701,정족산, , ,0.67,쉬움,12,8, , , , , ,2016-12-31,483301701
11,46129,317103701,정족산,용연리구간, ,0.55,쉬움,10,7, , , , , ,2016-12-31,483301701
12,46130,317103701,정족산, , ,0.53,쉬움,9,7, , , , , ,2016-12-31,2810181000
13,46131,317103701,정족산, , ,3.09,쉬움,55,38, , , , , ,2016-12-31,2810181000
14,46132,317103701,정족산, , ,1.51,쉬움,27,19, , , , , ,2016-12-31,2810181000
15,46133,317103701,정족산, , ,0.33,쉬움,6,4, , , , , ,2016-12-31,2810181000
16,46134,317103701,정족산, , ,0.26,쉬움,5,3, , , , , ,2016-12-31,2810181000
17,46135,317103701,정족산, , ,0.31,쉬움,5,4, , , , , ,2016-12-31,2810181000
18,46136,317103701,정족산, , ,0.38,쉬움,7,5, , , , , ,2016-12-31,2810181000
19,46137,317103701,정족산, , ,0.41,쉬움,7,5, , , , , ,2016-12-31,2810181000
20,46138,317103701,정족산, , ,1.47,쉬움,26,18, , , , , ,2016-12-31,2810181000
21,46139,317103701,정족산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,2810181000
22,46140,317103701,정족산, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,2810181000
23,46141,317103701,정족산, , ,0.36,쉬움,6,4, , , , , ,2016-12-31,2810181000
24,46142,317103701,정족산, , ,0.29,쉬움,5,4, , , , , ,2016-12-31,2810181000
25,46143,317103701,정족산, , ,0.44,쉬움,8,5, , , , , ,2016-12-31,2810181000
26,46144,317103701,정족산, , ,1.03,쉬움,18,13, , , , , ,2016-12-31,2810181000
27,46145,317103701,정족산, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,2810181000
28,46146,317103701,정족산, , ,0.26,쉬움,5,3, , , , , ,2016-12-31,2810181000
29,46147,317103701,정족산, , ,0.68,쉬움,12,8, , , , , ,2016-12-31,2810181000
30,46148,317103701,정족산, , ,0.36,쉬움,6,4, , , , , ,2016-12-31,2810181000
31,46149,317103701,정족산, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,2810181000
32,46150,317103701,정족산, , ,1.54,쉬움,27,19, , , , , ,2016-12-31,2810181000
33,46151,317103701,정족산, , ,0.74,쉬움,13,9, , , , , ,2016-12-31,2810181000
34,46152,317103701,정족산, , ,0.54,쉬움,10,7, , , , , ,2016-12-31,2810181000
35,46153,317103701,정족산, , ,0.55,쉬움,10,7, , , , , ,2016-12-31,2810181000
36,46154,317103701,정족산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2810181000
37,46155,317103701,정족산, , ,0.34,쉬움,6,4, , , , , ,2016-12-31,2810181000
38,46156,317103701,정족산, , ,0.75,쉬움,13,9, , , , , ,2016-12-31,2810181000
39,46157,317103701,정족산, , ,1.11,쉬움,20,14, , , , , ,2016-12-31,2810181000
40,46158,317103701,정족산, , ,0.52,쉬움,9,6, , , , , ,2016-12-31,2810181000
41,46159,317103701,정족산, , ,0.49,쉬움,9,6, , , , , ,2016-12-31,2810181000
42,46160,317103701,정족산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,2810181000
43,46161,317103701,정족산, , ,0.29,쉬움,5,4, , , , , ,2016-12-31,2810181000
44,46162,317103701,정족산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2810181000
45,46163,317103701,정족산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,2810181000
46,46164,317103701,정족산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,2810181000
47,46165,317103701,정족산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2810181000
48,46166,317103701,정족산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,2810181000
49,46167,317103701,정족산, , ,3.58,쉬움,63,44, , , , , ,2016-12-31,2810181000
50,46168,317103701,정족산, , ,1.02,쉬움,18,13, , , , , ,2016-12-31,2810181000
51,46169,317103701,정족산,주남동구간, ,2.34,쉬움,88,61, , , , , ,2016-12-31,2810181000
52,46170,317103701,정족산, , ,0.74,쉬움,13,9, , , , , ,2016-12-31,2810181000
53,46171,317103701,정족산, , ,2.75,쉬움,49,34, , , , , ,2016-12-31,2810181000
54,46172,317103701,정족산, , ,0.74,쉬움,13,9, , , , , ,2016-12-31,2810181000
55,46173,317103701,정족산, , ,1.39,쉬움,25,17, , , , , ,2016-12-31,2810181000
56,46174,317103701,정족산, , ,2.04,쉬움,36,25, , , , , ,2016-12-31,2810181000
57,46175,317103701,정족산, , ,0.97,쉬움,17,12, , , , , ,2016-12-31,2810181000
58,46176,317103701,정족산,답곡리구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,2810181000
59,46177,317103701,정족산, , ,0.71,쉬움,13,9, , , , , ,2016-12-31,2810181000
60,46178,317103701,정족산, , ,0.85,쉬움,15,11, , , , , ,2016-12-31,2810181000
61,46179,317103701,정족산,용연리구간, ,0.24,쉬움,4,3, , , , , ,2016-12-31,2810181000
62,46180,317103701,정족산, , ,0.43,쉬움,8,5, , , , , ,2016-12-31,2810181000
63,46181,317103701,정족산, , ,2.76,쉬움,49,34, , , , , ,2016-12-31,2810181000
64,46182,317103701,정족산, , ,3.24,쉬움,57,40, , , , , ,2016-12-31,2810181000
65,46183,317103701,정족산, , ,1.79,쉬움,32,22, , , , , ,2016-12-31,2810181000
66,46184,317103701,정족산, , ,0.5,쉬움,9,6, , , , , ,2016-12-31,2810181000
67,46185,317103701,정족산, , ,0.32,쉬움,6,4, , , , , ,2016-12-31,2810181000
68,46186,317103701,정족산, , ,0.92,쉬움,16,11, , , , , ,2016-12-31,2810181000
69,46187,317103701,정족산, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,2810181000
70,46188,317103701,정족산, , ,0.34,쉬움,6,4, , , , , ,2016-12-31,2810181000
71,46189,317103701,정족산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,2810181000
