FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,46193,447901801,정혜산,지천리구간, ,2.37,쉬움,42,29, , , , , ,2016-12-31,447901801
1,46194,447901801,정혜산,지천리구간, ,1.64,쉬움,29,20, , , , , ,2016-12-31,447901801
2,46195,447901801,정혜산,화산리구간, ,1.02,쉬움,18,13, , , , , ,2016-12-31,447901801
3,46196,447901801,정혜산,화산리구간, ,0.54,쉬움,10,7, , , , , ,2016-12-31,447901801
4,46197,447901801,정혜산,지천리구간, ,0.21,쉬움,4,3, , , , , ,2016-12-31,447901801
5,46198,447901801,정혜산,화산리구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,447901801
6,46199,447901801,정혜산,화산리구간, ,0.79,쉬움,14,10, , , , , ,2016-12-31,447901801
7,46200,447901801,정혜산,지천리구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,447901801
8,46201,447901801,정혜산,화산리구간, ,0.49,쉬움,9,6, , , , , ,2016-12-31,447901801
9,46202,447901801,정혜산,화산리구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,447901801
10,46203,447901801,정혜산,화산리구간, ,0.18,쉬움,3,2, , , , , ,2016-12-31,447901801
11,46204,447901801,정혜산,화산리구간, ,1.31,쉬움,33,23, , , , , ,2016-12-31,447901801
12,46205,447901801,정혜산,화산리구간, ,0.25,쉬움,4,3, , , , , ,2016-12-31,447901801
13,46206,447901801,정혜산,화산리구간, ,1.24,쉬움,31,22, , , , , ,2016-12-31,447901801
14,46207,447901801,정혜산,화산리구간, ,0.34,쉬움,6,4, , , , , ,2016-12-31,447901801
15,46208,447901801,정혜산,지천리구간, ,0.8,쉬움,14,10, , , , , ,2016-12-31,447901801
16,46209,447901801,정혜산,화산리구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,447901801
17,46210,447901801,정혜산,화산리구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,447901801
18,46211,447901801,정혜산,지천리구간, ,0.5,쉬움,9,6, , , , , ,2016-12-31,447901801
19,46212,447901801,정혜산,화산리구간, ,0.28,쉬움,5,3, , , , , ,2016-12-31,447901801
20,46213,447901801,정혜산,화산리구간, ,0.45,쉬움,8,6, , , , , ,2016-12-31,447901801
21,46214,447901801,정혜산,화산리구간, ,0.27,쉬움,5,3, , , , , ,2016-12-31,447901801
22,46215,447901801,정혜산,화산리구간, ,0.42,쉬움,7,5, , , , , ,2016-12-31,447901801
23,46216,447901801,정혜산,화산리구간, ,0.34,쉬움,6,4, , , , , ,2016-12-31,447901801
24,46217,447901801,정혜산,화산리구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,447901801
25,46218,447901801,정혜산,화산리구간, ,0.53,쉬움,9,7, , , , , ,2016-12-31,447901801
26,46219,447901801,정혜산,화산리구간, ,0.76,쉬움,13,9, , , , , ,2016-12-31,447901801
27,46220,447901801,정혜산,화산리구간, ,0.12,쉬움,2,1, , , , , ,2016-12-31,447901801
