FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,46364,437602101,조령산,원풍리구간, ,2.47,쉬움,44,31, , , , , ,2016-12-31,437602101
1,46365,437602101,조령산,주진리구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,437602101
2,46366,437602101,조령산,행촌리구간, ,0.31,쉬움,5,4, , , , , ,2016-12-31,437602101
3,46367,437602101,조령산,원풍리구간, ,0.21,쉬움,4,3, , , , , ,2016-12-31,437602101
4,46368,437602101,조령산,원풍리구간, ,4.98,쉬움,88,62, , , , , ,2016-12-31,437602101
5,46369,437602101,조령산,원풍리구간, ,1.96,쉬움,42,29, , , , , ,2016-12-31,437602101
6,46370,437602101,조령산,행촌리구간, ,0.53,쉬움,9,7, , , , , ,2016-12-31,437602101
7,46371,437602101,조령산,행촌리구간, ,0.36,쉬움,6,4, , , , , ,2016-12-31,437602101
8,46372,437602101,조령산,주진리구간, ,0.8,쉬움,14,10, , , , , ,2016-12-31,437602101
9,46373,437602101,조령산,주진리구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,437602101
10,46374,437602101,조령산,각서리구간, ,0.37,쉬움,7,5, , , , , ,2016-12-31,437602101
11,46375,437602101,조령산,주진리구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,437602101
12,46376,437602101,조령산,주진리구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,437602101
13,46377,437602101,조령산,주진리구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,437602101
14,46378,437602101,조령산,주진리구간, ,0.18,쉬움,3,2, , , , , ,2016-12-31,437602101
15,46379,437602101,조령산,각서리구간, ,0.47,쉬움,8,6, , , , , ,2016-12-31,437602101
16,46380,437602101,조령산,주진리구간, ,12.5,쉬움,313,219, , , , , ,2016-12-31,437602101
