FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,46383,414603101,조비산,석천리구간, ,0.31,쉬움,5,4, , , , , ,2016-12-31,414612601
1,46384,414603101,조비산,석천리구간, ,0.34,쉬움,6,4, , , , , ,2016-12-31,414612601
2,46385,414603101,조비산, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,414612601
3,46386,414603101,조비산,용천리구간, ,0.54,쉬움,10,7, , , , , ,2016-12-31,414612601
4,46387,414603101,조비산, , ,0.33,쉬움,6,4, , , , , ,2016-12-31,414612601
5,46388,414603101,조비산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,414612601
6,46389,414603101,조비산,장평리구간, ,0.37,중간,7,5, , , , , ,2016-12-31,414612601
7,46390,414603101,조비산, , ,0.43,쉬움,8,5, , , , , ,2016-12-31,414612601
8,46391,414603101,조비산, , ,0.68,쉬움,12,8, , , , , ,2016-12-31,414612601
9,46392,414603101,조비산,용천리구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,414612601
10,46393,414603101,조비산,용천리구간, ,0.23,쉬움,4,3, , , , , ,2016-12-31,414612601
