FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,46613,421104401,좌방산,발산리구간, ,1.15,쉬움,20,14, , , , , ,2016-12-31,2213044300
1,46614,421104401,좌방산, , ,0.76,쉬움,13,9, , , , , ,2016-12-31,2213044300
2,46615,421104401,좌방산, , ,0.33,쉬움,6,4, , , , , ,2016-12-31,2213044300
3,46616,421104401,좌방산, , ,0.3,쉬움,5,4, , , , , ,2016-12-31,2213044300
4,46617,421104401,좌방산, , ,0.27,쉬움,5,3, , , , , ,2016-12-31,2213044300
5,46618,421104401,좌방산, , ,1.08,쉬움,19,13, , , , , ,2016-12-31,2213044300
6,46619,421104401,좌방산, , ,0.92,쉬움,16,11, , , , , ,2016-12-31,2213044300
7,46620,421104401,좌방산, , ,0.7,쉬움,12,9, , , , , ,2016-12-31,2213044300
8,46621,421104401,좌방산,한덕리구간, ,2.51,쉬움,44,31, , , , , ,2016-12-31,2213044300
9,46622,421104401,좌방산,발산리구간, ,1.58,쉬움,59,41, , , , , ,2016-12-31,2213044300
10,46623,421104401,좌방산,발산리구간, ,0.86,쉬움,22,15, , , , , ,2016-12-31,2213044300
11,46624,421104401,좌방산,발산리구간, ,1.9,쉬움,71,50, , , , , ,2016-12-31,2213044300
12,46625,421104401,좌방산,한덕리구간, ,0.94,쉬움,17,12, , , , , ,2016-12-31,2213044300
