FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,46633,421700104,주공4차아파트뒷산,천곡동구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,421701201
1,46634,421700104,주공4차아파트뒷산, , ,0.23,쉬움,4,3, , , , , ,2016-12-31,421701201
2,46635,421700104,주공4차아파트뒷산,천곡동구간, ,0.01,중간,1,0, , , , , ,2016-12-31,421701201
3,46636,421700104,주공4차아파트뒷산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,421701201
4,46637,421700104,주공4차아파트뒷산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,421701201
5,46638,421700104,주공4차아파트뒷산, , ,0.29,쉬움,5,4, , , , , ,2016-12-31,421701201
6,46639,421700104,주공4차아파트뒷산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,421701201
7,46640,421700104,주공4차아파트뒷산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,421701201
8,46641,421700104,주공4차아파트뒷산,천곡동구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,421701201
9,46642,421700104,주공4차아파트뒷산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,421701201
10,46643,421700104,주공4차아파트뒷산,천곡동구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,421701201
11,46644,421700104,주공4차아파트뒷산, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,421701201
12,46645,421700104,주공4차아파트뒷산,천곡동구간, ,0.07,중간,1,1, , , , , ,2016-12-31,421701201
13,46646,421700104,주공4차아파트뒷산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,421701201
