FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,46647,416503101,주금산,수산리구간, ,0.34,쉬움,6,4, , , , , ,2016-12-31,413601901
1,46648,416503101,주금산,수산리구간, ,1.46,쉬움,26,18, , , , , ,2016-12-31,413601901
2,46649,416503101,주금산,팔야리구간, ,0.12,쉬움,2,1, , , , , ,2016-12-31,413601901
3,46650,416503101,주금산,내방리구간, ,2.09,쉬움,37,26, , , , , ,2016-12-31,413601901
4,46651,416503101,주금산,내방리구간, ,0.36,쉬움,6,4, , , , , ,2016-12-31,413601901
5,46652,416503101,주금산,내방리구간, ,0.88,쉬움,16,11, , , , , ,2016-12-31,413601901
6,46653,416503101,주금산,내방리구간, ,0.99,쉬움,17,12, , , , , ,2016-12-31,413601901
7,46654,416503101,주금산, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,413601901
8,46655,416503101,주금산,율길리구간, ,3.14,쉬움,55,39, , , , , ,2016-12-31,418203401
9,46656,416503101,주금산,상동리구간, ,0.81,쉬움,15,11, , , , , ,2016-12-31,413601901
10,46657,416503101,주금산,상동리구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,413601901
11,46658,416503101,주금산,상동리구간, ,0.77,쉬움,14,10, , , , , ,2016-12-31,413601901
12,46659,416503101,주금산, , ,0.33,쉬움,6,4, , , , , ,2016-12-31,2142042400
13,46660,416503101,주금산,태봉리구간, ,2.23,쉬움,84,59, , , , , ,2016-12-31,2142042400
14,46661,416503101,주금산,태봉리구간, ,3.09,쉬움,55,38, , , , , ,2016-12-31,2142042400
15,46662,416503101,주금산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,2142042400
16,46663,416503101,주금산, , ,0.36,쉬움,6,4, , , , , ,2016-12-31,2142042400
17,46664,416503101,주금산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,2142042400
18,46665,416503101,주금산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,2142042400
19,46666,416503101,주금산,소학리구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,2142042400
20,46667,416503101,주금산,소학리구간, ,0.02,중간,1,0, , , , , ,2016-12-31,2142042400
21,46668,416503101,주금산,소학리구간, ,0.02,중간,1,0, , , , , ,2016-12-31,2142042400
22,46669,416503101,주금산,소학리구간, ,0.48,쉬움,8,6, , , , , ,2016-12-31,2142042400
23,46670,416503101,주금산, , ,0.93,쉬움,16,11, , , , , ,2016-12-31,2142042400
24,46671,416503101,주금산, , ,0.71,쉬움,13,9, , , , , ,2016-12-31,2142042400
25,46672,416503101,주금산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,2142042400
26,46673,416503101,주금산, , ,0.96,중간,36,25, , , , , ,2016-12-31,2142042400
27,46674,416503101,주금산, , ,0.47,쉬움,8,6, , , , , ,2016-12-31,2142042400
28,46675,416503101,주금산, , ,0.82,쉬움,14,10, , , , , ,2016-12-31,2142042400
29,46676,416503101,주금산,상동리구간, ,0.96,쉬움,17,12, , , , , ,2016-12-31,2142042400
30,46677,416503101,주금산,수산리구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,2142042400
31,46678,416503101,주금산,내방리구간, ,0.18,쉬움,3,2, , , , , ,2016-12-31,2142042400
32,46679,416503101,주금산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2142042400
33,46680,416503101,주금산, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,2142042400
34,46681,416503101,주금산, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,2142042400
35,46682,416503101,주금산, , ,1.44,쉬움,25,18, , , , , ,2016-12-31,2142042400
36,46683,416503101,주금산, , ,0.33,쉬움,6,4, , , , , ,2016-12-31,2142042400
37,46684,416503101,주금산, , ,0.36,쉬움,6,4, , , , , ,2016-12-31,2142042400
38,46685,416503101,주금산, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,2142042400
39,46686,416503101,주금산,음현리구간, ,1.31,쉬움,23,16, , , , , ,2016-12-31,2142042400
40,46687,416503101,주금산, , ,0.83,쉬움,15,10, , , , , ,2016-12-31,2142042400
41,46688,416503101,주금산,내방리구간, ,1.93,쉬움,34,24, , , , , ,2016-12-31,2142042400
42,46689,416503101,주금산, , ,2.41,쉬움,43,30, , , , , ,2016-12-31,2142042400
43,46690,416503101,주금산,상동리구간, ,0.8,쉬움,14,10, , , , , ,2016-12-31,2142042400
44,46691,416503101,주금산,상동리구간, ,0.94,쉬움,17,12, , , , , ,2016-12-31,2142042400
45,46692,416503101,주금산, , ,0.34,쉬움,6,4, , , , , ,2016-12-31,2142042400
46,46693,416503101,주금산, , ,0.86,쉬움,15,11, , , , , ,2016-12-31,2142042400
47,46694,416503101,주금산, , ,3.16,쉬움,56,39, , , , , ,2016-12-31,2142042400
48,46695,416503101,주금산,내리구간, ,1.66,쉬움,29,21, , , , , ,2016-12-31,2142042400
49,46696,416503101,주금산,내리구간, ,2.45,쉬움,92,64, , , , , ,2016-12-31,2142042400
50,46697,416503101,주금산,율길리구간, ,3.11,쉬움,117,82, , , , , ,2016-12-31,2142042400
51,46698,416503101,주금산, , ,1.21,쉬움,21,15, , , , , ,2016-12-31,2142042400
52,46699,416503101,주금산,상동리구간, ,0.28,쉬움,5,3, , , , , ,2016-12-31,413601901
53,46700,416503101,주금산, , ,0.27,쉬움,5,3, , , , , ,2016-12-31,2142042400
54,46701,416503101,주금산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,2142042400
55,46702,416503101,주금산, , ,0.27,쉬움,5,3, , , , , ,2016-12-31,2142042400
56,46703,416503101,주금산, , ,0.96,쉬움,17,12, , , , , ,2016-12-31,2142042400
