FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,46718,441507901,주미산,금학동구간, ,0.66,쉬움,12,8, , , , , ,2016-12-31,441507901
1,46719,441507901,주미산,금학동구간, ,0.41,쉬움,7,5, , , , , ,2016-12-31,441507901
2,46720,441507901,주미산,금학동구간, ,0.42,쉬움,7,5, , , , , ,2016-12-31,441507901
3,46721,441507901,주미산,금학동구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,441507901
4,46722,441507901,주미산,금학동구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,441507901
5,46723,441507901,주미산,금학동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,441507901
6,46724,441507901,주미산,화은리구간, ,3.18,쉬움,56,39, , , , , ,2016-12-31,441507901
7,46725,441507901,주미산,금학동구간, ,0.53,쉬움,9,7, , , , , ,2016-12-31,441507901
8,46726,441507901,주미산,금학동구간, ,0.47,쉬움,8,6, , , , , ,2016-12-31,441507901
9,46727,441507901,주미산,금학동구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,441507901
10,46728,441507901,주미산,금학동구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,441507901
11,46729,441507901,주미산,금학동구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,441507901
12,46730,441507901,주미산,금학동구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,441507901
13,46731,441507901,주미산,금학동구간, ,0.87,쉬움,15,11, , , , , ,2016-12-31,441507901
14,46732,441507901,주미산,주미동구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,441507901
15,46733,441507901,주미산,주미동구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,441507901
16,46734,441507901,주미산,금학동구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,441507901
17,46735,441507901,주미산,금학동구간, ,0.28,쉬움,5,3, , , , , ,2016-12-31,441507901
18,46736,441507901,주미산,금학동구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,441507901
19,46737,441507901,주미산,금학동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,441507901
20,46738,441507901,주미산,금학동구간, ,1.09,쉬움,19,13, , , , , ,2016-12-31,441507901
21,46739,441507901,주미산,주미동구간, ,0.6,쉬움,11,7, , , , , ,2016-12-31,441507901
22,46740,441507901,주미산,주미동구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,441507901
23,46741,441507901,주미산,주미동구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,441507901
24,46742,441507901,주미산,주미동구간, ,0.21,쉬움,4,3, , , , , ,2016-12-31,441507901
25,46743,441507901,주미산,주미동구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,441507901
26,46744,441507901,주미산,주미동구간, ,0.46,쉬움,8,6, , , , , ,2016-12-31,441507901
27,46745,441507901,주미산,주미동구간, ,1.46,쉬움,26,18, , , , , ,2016-12-31,441507901
28,46746,441507901,주미산,금학동구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,441507901
29,46747,441507901,주미산,금학동구간, ,0.52,쉬움,9,6, , , , , ,2016-12-31,441507901
30,46748,441507901,주미산,금학동구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,441507901
31,46749,441507901,주미산,금학동구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,441507901
32,46750,441507901,주미산,금학동구간, ,0.36,쉬움,6,4, , , , , ,2016-12-31,441507901
33,46751,441507901,주미산,금학동구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,441507901
34,46752,441507901,주미산,금학동구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,441507901
35,46753,441507901,주미산,금학동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,441507901
36,46754,441507901,주미산,금학동구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,441507901
37,46755,441507901,주미산,금학동구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,441507901
38,46756,441507901,주미산,금학동구간, ,0.29,쉬움,5,4, , , , , ,2016-12-31,441507901
39,46757,441507901,주미산,금학동구간, ,0.8,쉬움,14,10, , , , , ,2016-12-31,441507901
40,46758,441507901,주미산,금학동구간, ,0.31,쉬움,5,4, , , , , ,2016-12-31,441507901
41,46759,441507901,주미산,금학동구간, ,0.18,쉬움,3,2, , , , , ,2016-12-31,441507901
42,46760,441507901,주미산,금학동구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,441507901
43,46761,441507901,주미산,금학동구간, ,0.33,쉬움,6,4, , , , , ,2016-12-31,441507901
44,46762,441507901,주미산,금학동구간, ,0.49,쉬움,9,6, , , , , ,2016-12-31,441507901
45,46763,441507901,주미산,오곡동구간, ,0.9,쉬움,17,12, , , , , ,2016-12-31,441507901
46,46764,441507901,주미산,금학동구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,441507901
47,46765,441507901,주미산,금학동구간, ,0.42,쉬움,7,5, , , , , ,2016-12-31,441507901
