FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,46832,467801601,주월산,수남리구간, ,1.8,쉬움,45,32, , , , , ,2016-12-31,467801601
1,46833,467801601,주월산,수남리구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,467801601
2,46834,467801601,주월산,송곡리구간, ,0.28,쉬움,5,3, , , , , ,2016-12-31,467801601
3,46835,467801601,주월산,송곡리구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,467801601
4,46836,467801601,주월산,수남리구간, ,1.1,쉬움,19,14, , , , , ,2016-12-31,467801601
5,46837,467801601,주월산,수남리구간, ,1.17,쉬움,44,31, , , , , ,2016-12-31,467801601
6,46838,467801601,주월산,봉능리구간, ,0.29,쉬움,5,4, , , , , ,2016-12-31,467801601
7,46839,467801601,주월산,우천리구간, ,0.46,쉬움,8,6, , , , , ,2016-12-31,467801601
8,46840,467801601,주월산,우천리구간, ,1.31,쉬움,23,16, , , , , ,2016-12-31,467801601
9,46841,467801601,주월산,수남리구간, ,1.02,쉬움,22,15, , , , , ,2016-12-31,467801601
10,46842,467801601,주월산,수남리구간, ,0.43,쉬움,8,5, , , , , ,2016-12-31,467801601
11,46843,467801601,주월산,덕산리구간, ,2.79,쉬움,49,34, , , , , ,2016-12-31,467801601
12,46844,467801601,주월산,예당리구간, ,3.14,쉬움,55,39, , , , , ,2016-12-31,467801601
13,46845,467801601,주월산,수남리구간, ,2.32,쉬움,58,41, , , , , ,2016-12-31,467801601
14,46846,467801601,주월산,수남리구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,467801601
