FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,46881,277102901,죽곡산,달성군 다사읍 강정리구간, ,0.18,쉬움,3,2,토사, , ,뱀이나 각종 위해 조수, ,2016-12-31,277102901
1,46882,277102901,죽곡산,강정 우방타운-매곡 배수장구간, ,0.11,쉬움,2,1,토사, , ,뱀이나 각종 위해 조수, ,2016-12-31,277102901
2,46883,277102901,죽곡산,강정 우방타운-매곡 배수장구간, ,0.79,쉬움,14,10,토사, , ,뱀이나 각종 위해 조수, ,2016-12-31,277102901
3,46884,277102901,죽곡산,강정 우방타운-매곡 배수장구간, ,0.61,쉬움,11,8,토사, , ,뱀이나 각종 위해 조수, ,2016-12-31,277102901
4,46885,277102901,죽곡산,달성군 다사읍 강정리구간, ,0.61,쉬움,11,8,토사, , ,뱀이나 각종 위해 조수, ,2016-12-31,277102901
5,46886,277102901,죽곡산,달성군 다사읍 강정리구간, ,0.11,쉬움,2,1,토사, , ,뱀이나 각종 위해 조수, ,2016-12-31,277102901
6,46887,277102901,죽곡산,달성군 다사읍 강정리구간,꽃밭,0.03,쉬움,1,0,토사, , ,뱀이나 각종 위해 조수, ,2016-12-31,277102901
7,46888,277102901,죽곡산,죽곡리구간, ,0.2,쉬움,4,2,토사, , ,뱀이나 각종 위해 조수, ,2016-12-31,277102901
8,46889,277102901,죽곡산,달성군 다사읍 강정리구간, ,0.34,쉬움,6,4,토사, , ,뱀이나 각종 위해 조수, ,2016-12-31,277102901
9,46890,277102901,죽곡산,달성군 다사읍 강정리구간, ,0.44,쉬움,8,5,토사, , ,뱀이나 각종 위해 조수, ,2016-12-31,277102901
10,46891,277102901,죽곡산,강정 우방타운-매곡 배수장구간, ,0.34,쉬움,6,4,토사, , ,뱀이나 각종 위해 조수, ,2016-12-31,277102901
11,46892,277102901,죽곡산,강정 우방타운-매곡 배수장구간,매곡배수장,1.02,쉬움,18,13,토사, , ,뱀이나 각종 위해 조수, ,2016-12-31,277102901
12,46893,277102901,죽곡산,강정 우방타운-매곡 배수장구간, ,1.07,쉬움,19,13,토사, , ,뱀이나 각종 위해 조수, ,2016-12-31,277102901
