FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,46936,422305004,준경묘주변산, , ,1.32,쉬움,23,16, , , , , ,2016-12-31,422307201
1,46937,422305004,준경묘주변산,고무릉리구간, ,2.43,쉬움,91,64, , , , , ,2016-12-31,422307201
2,46938,422305004,준경묘주변산, , ,1.54,쉬움,27,19, , , , , ,2016-12-31,422307201
3,46939,422305004,준경묘주변산, , ,2.5,쉬움,44,31, , , , , ,2016-12-31,422307201
4,46940,422305004,준경묘주변산, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,422307201
5,46941,422305004,준경묘주변산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,422307201
6,46942,422305004,준경묘주변산, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,422307201
7,46943,422305004,준경묘주변산,활기리구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,422307201
8,46944,422305004,준경묘주변산,활기리구간, ,3.86,쉬움,145,101, , , , , ,2016-12-31,422307201
9,46945,422305004,준경묘주변산,활기리구간, ,3.15,쉬움,68,47, , , , , ,2016-12-31,422307201
