FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,47151,488605302,지리산_천왕봉,부운리구간, ,0.71,쉬움,13,9, , , , , ,2016-12-31,451903401
1,47152,488605302,지리산_천왕봉, , ,2.21,쉬움,39,27, , , , , ,2016-12-31,451903401
2,47153,488605302,지리산_천왕봉,덕동리구간, ,0.23,쉬움,4,3, , , , , ,2016-12-31,451903401
3,47154,488605302,지리산_천왕봉,덕동리구간, ,2.1,쉬움,79,55, , , , , ,2016-12-31,451903401
4,47155,488605302,지리산_천왕봉, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,451903401
5,47156,488605302,지리산_천왕봉, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,451903401
6,47157,488605302,지리산_천왕봉, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,451903401
7,47158,488605302,지리산_천왕봉, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,451903401
8,47159,488605302,지리산_천왕봉, , ,0.41,쉬움,7,5, , , , , ,2016-12-31,451903401
9,47160,488605302,지리산_천왕봉,주촌리구간, ,3.09,쉬움,55,38, , , , , ,2016-12-31,451903401
10,47161,488605302,지리산_천왕봉, , ,0.38,쉬움,7,5, , , , , ,2016-12-31,451903401
11,47162,488605302,지리산_천왕봉, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,451903401
12,47163,488605302,지리산_천왕봉, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,451903401
13,47164,488605302,지리산_천왕봉, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,451903401
14,47165,488605302,지리산_천왕봉, , ,3.03,쉬움,53,37, , , , , ,2016-12-31,451903401
15,47166,488605302,지리산_천왕봉,고기리구간, ,0.21,쉬움,4,3, , , , , ,2016-12-31,451903401
16,47167,488605302,지리산_천왕봉,덕치리구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,451903401
17,47168,488605302,지리산_천왕봉,주촌리구간, ,0.64,쉬움,11,8, , , , , ,2016-12-31,451903401
18,47169,488605302,지리산_천왕봉, , ,16.86,쉬움,298,208, , , , , ,2016-12-31,451903401
