FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,47383,427707201,지억산,화암리구간, ,3.68,쉬움,138,97, , , , , ,2016-12-31,2211023200
1,47384,427707201,지억산, , ,0.98,쉬움,17,12, , , , , ,2016-12-31,2211023200
2,47385,427707201,지억산, , ,0.39,쉬움,7,5, , , , , ,2016-12-31,2211023200
3,47386,427707201,지억산, , ,0.83,쉬움,15,10, , , , , ,2016-12-31,2211023200
4,47387,427707201,지억산,화암리구간, ,0.59,쉬움,10,7, , , , , ,2016-12-31,2211023200
5,47388,427707201,지억산,몰운리구간, ,1.07,쉬움,20,14, , , , , ,2016-12-31,2211023200
6,47389,427707201,지억산, , ,1.39,쉬움,25,17, , , , , ,2016-12-31,2211023200
7,47390,427707201,지억산, , ,1.1,쉬움,19,14, , , , , ,2016-12-31,2211023200
8,47391,427707201,지억산, , ,1.43,쉬움,25,18, , , , , ,2016-12-31,2211023200
9,47392,427707201,지억산, , ,1.5,쉬움,26,19, , , , , ,2016-12-31,2211023200
10,47393,427707201,지억산,무릉리구간, ,0.52,쉬움,9,6, , , , , ,2016-12-31,2211023200
11,47394,427707201,지억산, , ,2.25,쉬움,40,28, , , , , ,2016-12-31,2211023200
12,47395,427707201,지억산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,2211023200
13,47396,427707201,지억산, , ,1.46,쉬움,26,18, , , , , ,2016-12-31,2211023200
14,47397,427707201,지억산, , ,0.28,쉬움,5,3, , , , , ,2016-12-31,2211023200
15,47398,427707201,지억산, , ,0.79,쉬움,14,10, , , , , ,2016-12-31,2211023200
16,47399,427707201,지억산, , ,0.49,쉬움,9,6, , , , , ,2016-12-31,2211023200
17,47400,427707201,지억산, , ,0.74,쉬움,13,9, , , , , ,2016-12-31,2211023200
18,47401,427707201,지억산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,2211023200
19,47402,427707201,지억산, , ,0.02,중간,1,0, , , , , ,2016-12-31,2211023200
20,47403,427707201,지억산, , ,1.33,쉬움,23,16, , , , , ,2016-12-31,2211023200
21,47404,427707201,지억산,유평리구간, ,2.23,쉬움,84,59, , , , , ,2016-12-31,2211023200
22,47405,427707201,지억산, , ,0.62,쉬움,11,8, , , , , ,2016-12-31,2211023200
23,47406,427707201,지억산, , ,0.35,쉬움,6,4, , , , , ,2016-12-31,2211023200
24,47407,427707201,지억산,무릉리구간, ,2.54,쉬움,64,44, , , , , ,2016-12-31,2211023200
25,47408,427707201,지억산, , ,1.45,쉬움,26,18, , , , , ,2016-12-31,2211023200
26,47409,427707201,지억산, , ,2.14,쉬움,38,26, , , , , ,2016-12-31,2211023200
27,47410,427707201,지억산,몰운리구간, ,1.0,쉬움,25,18, , , , , ,2016-12-31,2211023200
