FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,47425,461101101,지적산,대양동구간, ,0.95,쉬움,17,12, , , , , ,2016-12-31,2608991100
1,47426,461101101,지적산, , ,0.72,쉬움,13,9, , , , , ,2016-12-31,2608991100
2,47427,461101101,지적산,대양동구간, ,0.51,쉬움,9,6, , , , , ,2016-12-31,2608991100
3,47428,461101101,지적산, , ,0.52,쉬움,9,6, , , , , ,2016-12-31,2608991100
4,47429,461101101,지적산, , ,0.67,쉬움,12,8, , , , , ,2016-12-31,2608991100
5,47430,461101101,지적산, , ,0.27,쉬움,5,3, , , , , ,2016-12-31,2608991100
6,47431,461101101,지적산,유교리구간, ,0.39,쉬움,7,5, , , , , ,2016-12-31,2608991100
7,47432,461101101,지적산,석현동구간, ,0.06,중간,1,1, , , , , ,2016-12-31,2608991100
8,47433,461101101,지적산,석현동구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,2608991100
9,47434,461101101,지적산,석현동구간, ,0.08,중간,1,1, , , , , ,2016-12-31,2608991100
10,47435,461101101,지적산,대양동구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,2608991100
11,47436,461101101,지적산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,2608991100
12,47437,461101101,지적산,석현동구간,도시가스삼거리-117봉-현대갈림길 -중앙고/석현마을 갈림길-지적산-남해환경-산계마을 -신기마을-국립목포병원-임성초교-미래병원-도시가스삼거리,0.37,쉬움,7,5, , , , , ,2016-12-31,2608991100
