FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,47594,481702801,집현산,도전리구간, ,0.97,쉬움,18,13, , , , , ,2016-12-31,2812402300
1,47595,481702801,집현산,도리구간, ,0.53,쉬움,9,7, , , , , ,2016-12-31,2812402300
2,47596,481702801,집현산,도리구간,금굴,1.08,쉬움,19,13, , , , , ,2016-12-31,2812402300
3,47597,481702801,집현산,도리구간, ,0.21,쉬움,4,3, , , , , ,2016-12-31,2812402300
4,47598,481702801,집현산,도리구간, ,2.88,쉬움,51,36, , , , , ,2016-12-31,2812402300
5,47599,481702801,집현산,도리구간, ,1.37,쉬움,24,17, , , , , ,2016-12-31,2812402300
6,47600,481702801,집현산,도리구간, ,2.85,쉬움,50,35, , , , , ,2016-12-31,2812402300
7,47601,481702801,집현산,도리구간, ,3.89,쉬움,69,48, , , , , ,2016-12-31,2812402300
8,47602,481702801,집현산,도리구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,2812402300
9,47603,481702801,집현산,도리구간, ,1.29,쉬움,23,16, , , , , ,2016-12-31,2812402300
10,47604,481702801,집현산,도리구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,2812402300
11,47605,481702801,집현산,도리구간, ,1.46,쉬움,26,18, , , , , ,2016-12-31,2812402300
12,47606,481702801,집현산,도전리구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,2812402300
13,47607,481702801,집현산,도전리구간, ,0.56,쉬움,10,7, , , , , ,2016-12-31,2812402300
