FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,47608,291551101,짚봉산,풍암동구간, ,0.25,쉬움,4,3, , , , , ,2016-12-31,291551101
1,47609,291551101,짚봉산,미래로 21병원 주차장앞-화재로134구간, ,0.13,쉬움,2,2,마사/적황토사, , , , ,2016-12-31,291551101
2,47610,291551101,짚봉산,미래로 21병원 주차장앞-화재로134구간, ,0.12,쉬움,2,1,마사/적황토사, , , , ,2016-12-31,291551101
3,47611,291551101,짚봉산,미래로 21병원 주차장앞-화재로134구간, ,0.18,쉬움,3,2,마사/적황토사, , , , ,2016-12-31,291551101
4,47612,291551101,짚봉산,미래로 21병원 주차장앞-화재로134구간, ,0.35,쉬움,6,4,마사/적황토사, , , , ,2016-12-31,291551101
5,47613,291551101,짚봉산,미래로 21병원 주차장앞-화재로134구간, ,0.13,쉬움,2,2,마사/적황토사, , , , ,2016-12-31,291551101
6,47614,291551101,짚봉산,주월동구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,291551101
7,47615,291551101,짚봉산,풍암동구간, ,0.32,쉬움,6,4,마사/적황토사, , , , ,2016-12-31,291551101
8,47616,291551101,짚봉산,미래로 21병원 주차장앞-화재로134구간, ,0.31,쉬움,5,4,마사/적황토사, , , , ,2016-12-31,291551101
9,47617,291551101,짚봉산,미래로 21병원 주차장앞-화재로134구간, ,0.09,쉬움,2,1,마사/적황토사, , , , ,2016-12-31,291551101
10,47618,291551101,짚봉산,미래로 21병원 주차장앞-화재로134구간, ,0.17,쉬움,3,2,마사/적황토사, , , , ,2016-12-31,291551101
11,47619,291551101,짚봉산,미래로 21병원 주차장앞-화재로134구간, ,0.11,쉬움,2,1,마사/적황토사, , , , ,2016-12-31,291551101
12,47620,291551101,짚봉산,미래로 21병원 주차장앞-화재로134구간, ,0.28,쉬움,5,3,마사/적황토사, , , , ,2016-12-31,291551101
13,47621,291551101,짚봉산,미래로 21병원 주차장앞-화재로134구간, ,0.09,쉬움,2,1,마사/적황토사, , , , ,2016-12-31,291551101
14,47622,291551101,짚봉산,미래로 21병원 주차장앞-화재로134구간, ,0.13,쉬움,2,2,마사/적황토사, , , , ,2016-12-31,291551101
15,47623,291551101,짚봉산,풍암동구간, ,0.11,쉬움,2,1,마사/적황토사, , , , ,2016-12-31,291551101
16,47624,291551101,짚봉산,주월동구간, ,0.16,쉬움,3,2,마사/적황토사, , , , ,2016-12-31,291551101
17,47625,291551101,짚봉산,주월동구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,291551101
18,47626,291551101,짚봉산,풍암동구간, ,0.31,쉬움,5,4, , , , , ,2016-12-31,291551101
19,47627,291551101,짚봉산,풍암동구간, ,0.32,쉬움,6,4, , , , , ,2016-12-31,291551101
20,47628,291551101,짚봉산,미래로 21병원 주차장앞-화재로134구간, ,0.19,쉬움,3,2,마사/적황토사, , , , ,2016-12-31,291551101
21,47629,291551101,짚봉산,풍암동구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,291551101
