FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,47672,488703101,창암산,덕전리구간, ,0.61,쉬움,11,8,토사/암반, , , , ,2016-12-31,488703101
1,47673,488703101,창암산,덕전리구간,가채마을,0.47,쉬움,8,6,토사/암반, , , , ,2016-12-31,488703101
2,47674,488703101,창암산,덕전리구간, ,0.5,쉬움,9,6,토사/암반, , , , ,2016-12-31,488703101
3,47675,488703101,창암산,의탄리구간, ,2.37,쉬움,42,29,토사/암반, , , , ,2016-12-31,488703101
4,47676,488703101,창암산,덕전리구간, ,0.76,쉬움,13,9,토사/암반, , , , ,2016-12-31,488703101
5,47677,488703101,창암산,가흥리구간,샘물,1.1,쉬움,19,14,토사/암반, , , , ,2016-12-31,488703101
6,47678,488703101,창암산,가흥리구간, ,0.89,쉬움,16,11,토사/암반, , , , ,2016-12-31,488703101
7,47679,488703101,창암산,강청리구간, ,0.51,쉬움,9,6,토사/암반, , , , ,2016-12-31,488703101
8,47680,488703101,창암산,의탄리구간, ,0.42,쉬움,7,5,토사/암반, , , , ,2016-12-31,488703101
9,47681,488703101,창암산,강청리구간, ,1.96,쉬움,35,24,토사/암반, , , , ,2016-12-31,488703101
10,47682,488703101,창암산,강청리구간, ,0.45,쉬움,8,6,토사/암반, , , , ,2016-12-31,488703101
11,47683,488703101,창암산,가흥리구간, ,0.42,쉬움,7,5,토사/암반, , , , ,2016-12-31,488703101
12,47684,488703101,창암산,가흥리구간,강청마을,0.24,쉬움,4,3,시멘트, , , , ,2016-12-31,488703101
13,47685,488703101,창암산,강청리구간, ,0.49,쉬움,9,6,토사/암반, , , , ,2016-12-31,488703101
14,47686,488703101,창암산,강청리구간, ,0.53,쉬움,9,7,토사/암반, , , , ,2016-12-31,488703101
15,47687,488703101,창암산,덕전리구간,초록마을,0.27,쉬움,5,3,시멘트, , , , ,2016-12-31,488703101
16,47688,488703101,창암산,가흥리구간,가채마을농로,2.02,쉬움,36,25,토사/암반, , , , ,2016-12-31,488703101
17,47689,488703101,창암산,의탄리구간, ,3.55,쉬움,63,44,토사/암반, , , , ,2016-12-31,488703101
18,47690,488703101,창암산,강청리구간, ,0.47,쉬움,8,6,토사/암반, , , , ,2016-12-31,488703101
19,47691,488703101,창암산,강청리구간, ,0.44,쉬움,8,5,토사/암반, , , , ,2016-12-31,488703101
20,47692,488703101,창암산,강청리구간, ,0.29,쉬움,5,4,시멘트, , , , ,2016-12-31,488703101
21,47693,488703101,창암산,강청리구간, ,0.13,쉬움,2,2,토사/암반, , , , ,2016-12-31,488703101
22,47694,488703101,창암산,강청리구간, ,0.11,쉬움,2,1,토사/암반, , , , ,2016-12-31,488703101
23,47695,488703101,창암산,강청리구간, ,0.32,쉬움,6,4,토사/암반, , , , ,2016-12-31,488703101
24,47696,488703101,창암산,강청리구간, ,0.36,쉬움,6,4,토사/암반, , , , ,2016-12-31,488703101
25,47697,488703101,창암산,추성리구간, ,0.94,쉬움,17,12,토사/암반, , , , ,2016-12-31,488703101
26,47698,488703101,창암산,강청리구간, ,1.51,쉬움,27,19,토사/암반, , , , ,2016-12-31,488703101
27,47699,488703101,창암산,강청리구간,두터지마을,0.67,중간,17,12,토사/암반, , , , ,2016-12-31,488703101
28,47700,488703101,창암산,강청리구간, ,0.74,쉬움,13,9,토사/암반, , , , ,2016-12-31,488703101
