FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,47830,467702601,천등산,천등산 주차장입구-주능선 도착지구간, ,2.2,쉬움,39,27, , , , ,Y,2016-12-31,467702601
1,47831,467702601,천등산,풍양면 송정리구간, ,0.45,쉬움,8,6, , , ,가파른 암벽이 다수 노출,Y,2016-12-31,467702601
2,47832,467702601,천등산,송정마을 뒤-헬기장구간, ,2.05,쉬움,36,25, , , , ,Y,2016-12-31,467702601
3,47833,467702601,천등산,풍양면 송정리구간, ,0.85,쉬움,15,11, , , ,가파른 암벽이 다수 노출,Y,2016-12-31,467702601
4,47834,467702601,천등산,송정리구간, ,0.22,쉬움,4,3, , , , ,Y,2016-12-31,467702601
5,47835,467702601,천등산,송정리구간, ,1.37,쉬움,24,17, , , , ,Y,2016-12-31,467702601
6,47836,467702601,천등산,신호리구간, ,4.41,쉬움,165,116, , , , ,Y,2016-12-31,467702601
7,47837,467702601,천등산,신호리구간, ,0.93,쉬움,16,11, , , , ,Y,2016-12-31,467702601
8,47838,467702601,천등산,송정리구간, ,1.29,쉬움,23,16, , , , ,Y,2016-12-31,467702601
9,47839,467702601,천등산,풍양면 송정리구간, ,1.86,쉬움,33,23, , , ,가파른 암벽이 다수 노출,Y,2016-12-31,467702601
10,47840,467702601,천등산,주능선 갈림길-임도구간, ,0.56,쉬움,10,7, , , , ,Y,2016-12-31,467702601
11,47841,467702601,천등산,송정리구간, ,0.07,쉬움,1,1, , , , ,Y,2016-12-31,467702601
12,47842,467702601,천등산,풍양면 송정리구간, ,0.68,쉬움,12,8, , , ,가파른 암벽이 다수 노출,Y,2016-12-31,467702601
13,47843,467702601,천등산,풍양면 송정리구간, ,0.05,쉬움,1,1, , , ,가파른 암벽이 다수 노출,Y,2016-12-31,467702601
14,47844,467702601,천등산,율치리구간, ,0.69,쉬움,12,9, , , , ,Y,2016-12-31,467702601
15,47845,467702601,천등산,주능선 삼거리-사동 저수지 위구간, ,2.45,쉬움,43,30, , , , ,Y,2016-12-31,467702601
