FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,47866,261401101,천마산,암남동구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,261401101
1,47867,261401101,천마산,아미동2가구간, ,0.51,쉬움,9,6, , , , , ,2016-12-31,261401101
2,47868,261401101,천마산,감천동구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,261401101
3,47869,261401101,천마산,감천동구간, ,0.24,쉬움,4,3, , , , , ,2016-12-31,261401101
4,47870,261401101,천마산,아미동2가구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,261401101
5,47871,261401101,천마산,감천동구간, ,0.16,쉬움,3,2, , , , , ,2016-12-31,261401101
6,47872,261401101,천마산,감천동구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,261401101
7,47873,261401101,천마산,아미동2가구간, ,0.28,쉬움,5,3, , , , , ,2016-12-31,261401101
8,47874,261401101,천마산,감천동구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,261401101
9,47875,261401101,천마산,감천동구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,261401101
10,47876,261401101,천마산,감천동구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,261401101
11,47877,261401101,천마산,감천동구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,261401101
12,47878,261401101,천마산,감천동구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,261401101
13,47879,261401101,천마산,감천동구간, ,0.33,쉬움,6,4, , , , , ,2016-12-31,261401101
14,47880,261401101,천마산,아미동2가구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,261401101
15,47881,261401101,천마산,감천동구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,261401101
16,47882,261401101,천마산,감천동구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,261401101
17,47883,261401101,천마산,감천동구간, ,1.57,쉬움,28,19, , , , , ,2016-12-31,261401101
18,47884,261401101,천마산,감천동구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,261401101
19,47885,261401101,천마산,감천동구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,261401101
20,47886,261401101,천마산,감천동구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,261401101
21,47887,261401101,천마산,초장동구간, ,0.03,중간,1,0, , , , , ,2016-12-31,261401101
22,47888,261401101,천마산,남부민동구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,261401101
23,47889,261401101,천마산,남부민동구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,261401101
24,47890,261401101,천마산,남부민동구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,261401101
25,47891,261401101,천마산,아미동2가구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,261401101
26,47892,261401101,천마산,아미동2가구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,261401101
27,47893,261401101,천마산,아미동2가구간, ,0.23,쉬움,4,3, , , , , ,2016-12-31,261401101
28,47894,261401101,천마산,남부민동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,261401101
29,47895,261401101,천마산,감천동구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,261401101
30,47896,261401101,천마산,아미동2가구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,261401101
31,47897,261401101,천마산,초장동구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,261401101
32,47898,261401101,천마산,감천동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,261401101
33,47899,261401101,천마산,감천동구간, ,0.21,쉬움,4,3, , , , , ,2016-12-31,261401101
34,47900,261401101,천마산,남부민동구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,261401101
35,47901,261401101,천마산,남부민동구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,261401101
