FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,48177,447702201,천방산,신농리구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,2409040602
1,48178,447702201,천방산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,2409040602
2,48179,447702201,천방산,초현리구간, ,0.39,쉬움,7,5, , , , , ,2016-12-31,2409040602
3,48180,447702201,천방산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2409040602
4,48181,447702201,천방산, , ,0.31,쉬움,5,4, , , , , ,2016-12-31,2409040602
5,48182,447702201,천방산, , ,0.24,쉬움,4,3, , , , , ,2016-12-31,2409040602
6,48183,447702201,천방산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,2409040602
7,48184,447702201,천방산, , ,1.25,쉬움,22,15, , , , , ,2016-12-31,2409040602
8,48185,447702201,천방산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,2409040602
9,48186,447702201,천방산,문장리구간, ,0.24,쉬움,4,3, , , , , ,2016-12-31,2409040602
10,48187,447702201,천방산, , ,1.15,쉬움,20,14, , , , , ,2016-12-31,2409040602
11,48188,447702201,천방산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,2409040602
12,48189,447702201,천방산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2409040602
13,48190,447702201,천방산, , ,0.71,쉬움,13,9, , , , , ,2016-12-31,2409040602
14,48191,447702201,천방산, , ,0.04,중간,1,0, , , , , ,2016-12-31,2409040602
15,48192,447702201,천방산,금덕리구간, ,1.0,쉬움,18,12, , , , , ,2016-12-31,2409040602
16,48193,447702201,천방산,등고리구간, ,0.58,쉬움,11,8, , , , , ,2016-12-31,2409040602
17,48194,447702201,천방산, , ,1.54,쉬움,27,19, , , , , ,2016-12-31,2409040602
18,48195,447702201,천방산,북산리구간, ,0.9,쉬움,16,11, , , , , ,2016-12-31,2409040602
19,48196,447702201,천방산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,2409040602
20,48197,447702201,천방산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,2409040602
21,48198,447702201,천방산, , ,2.82,쉬움,50,35, , , , , ,2016-12-31,2409040602
22,48199,447702201,천방산,신농리구간, ,1.08,쉬움,19,13, , , , , ,2016-12-31,2409040602
23,48200,447702201,천방산,수암리구간, ,0.27,쉬움,5,3, , , , , ,2016-12-31,2409040602
24,48201,447702201,천방산,신농리구간, ,0.63,쉬움,11,8, , , , , ,2016-12-31,2409040602
25,48202,447702201,천방산, , ,2.11,쉬움,37,26, , , , , ,2016-12-31,2409040602
26,48203,447702201,천방산,수암리구간, ,0.9,쉬움,17,12, , , , , ,2016-12-31,2409040602
