FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,48969,483302201,천태산,내포리구간, ,0.74,쉬움,13,9, , , , , ,2016-12-31,2810151400
1,48970,483302201,천태산, , ,0.61,쉬움,11,8, , , , , ,2016-12-31,2810151400
2,48971,483302201,천태산, , ,0.84,쉬움,15,10, , , , , ,2016-12-31,2810151400
3,48972,483302201,천태산, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,2810151400
4,48973,483302201,천태산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,2810151400
5,48974,483302201,천태산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,2810151400
6,48975,483302201,천태산, , ,1.02,쉬움,18,13, , , , , ,2016-12-31,2810151400
7,48976,483302201,천태산, , ,0.46,쉬움,8,6, , , , , ,2016-12-31,2810151400
8,48977,483302201,천태산, , ,0.29,쉬움,5,4, , , , , ,2016-12-31,2810151400
9,48978,483302201,천태산, , ,0.52,쉬움,9,6, , , , , ,2016-12-31,2810151400
10,48979,483302201,천태산, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,2810151400
11,48980,483302201,천태산, , ,0.33,쉬움,6,4, , , , , ,2016-12-31,2810151400
12,48981,483302201,천태산, , ,0.23,쉬움,4,3, , , , , ,2016-12-31,2810151400
13,48982,483302201,천태산, , ,0.41,쉬움,7,5, , , , , ,2016-12-31,2810151400
14,48983,483302201,천태산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,2810151400
15,48984,483302201,천태산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,2810151400
16,48985,483302201,천태산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,2810151400
17,48986,483302201,천태산, , ,0.38,쉬움,7,5, , , , , ,2016-12-31,2810151400
18,48987,483302201,천태산, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,2810151400
19,48988,483302201,천태산, , ,0.26,쉬움,5,3, , , , , ,2016-12-31,2810151400
20,48989,483302201,천태산, , ,0.3,쉬움,5,4, , , , , ,2016-12-31,2810151400
21,48990,483302201,천태산, , ,1.31,쉬움,23,16, , , , , ,2016-12-31,2810151400
22,48991,483302201,천태산, , ,0.29,쉬움,5,4, , , , , ,2016-12-31,2810151400
23,48992,483302201,천태산,행곡리구간, ,0.36,쉬움,6,4, , , , , ,2016-12-31,2810151400
24,48993,483302201,천태산, , ,0.87,쉬움,15,11, , , , , ,2016-12-31,2810151400
25,48994,483302201,천태산,행곡리구간, ,0.71,쉬움,13,9, , , , , ,2016-12-31,2810151400
26,48995,483302201,천태산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2810151400
27,48996,483302201,천태산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,2810151400
28,48997,483302201,천태산, , ,0.27,쉬움,5,3, , , , , ,2016-12-31,2810151400
29,48998,483302201,천태산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2810151400
30,48999,483302201,천태산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,2810151400
31,49000,483302201,천태산, , ,0.23,쉬움,4,3, , , , , ,2016-12-31,2810151400
32,49001,483302201,천태산, , ,0.46,쉬움,8,6, , , , , ,2016-12-31,2810151400
33,49002,483302201,천태산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,2810151400
34,49003,483302201,천태산, , ,0.26,쉬움,5,3, , , , , ,2016-12-31,2810151400
35,49004,483302201,천태산,용당리구간, ,0.33,쉬움,6,4, , , , , ,2016-12-31,2810151400
36,49005,483302201,천태산, , ,0.43,쉬움,8,5, , , , , ,2016-12-31,2810151400
37,49006,483302201,천태산, , ,0.36,쉬움,6,4, , , , , ,2016-12-31,2810151400
38,49007,483302201,천태산, , ,0.38,쉬움,7,5, , , , , ,2016-12-31,2810151400
39,49008,483302201,천태산, , ,0.35,쉬움,6,4, , , , , ,2016-12-31,2810151400
40,49009,483302201,천태산, , ,0.98,쉬움,17,12, , , , , ,2016-12-31,2810151400
41,49010,483302201,천태산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,2810151400
42,49011,483302201,천태산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,2810151400
43,49012,483302201,천태산,행곡리구간, ,2.06,쉬움,36,25, , , , , ,2016-12-31,2810151400
44,49013,483302201,천태산, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,2810151400
45,49014,483302201,천태산, , ,0.28,쉬움,5,3, , , , , ,2016-12-31,2810151400
46,49015,483302201,천태산,행곡리구간, ,1.14,쉬움,20,14, , , , , ,2016-12-31,2810151400
47,49016,483302201,천태산, , ,1.04,쉬움,18,13, , , , , ,2016-12-31,2810151400
48,49017,483302201,천태산, , ,0.85,쉬움,15,11, , , , , ,2016-12-31,2810151400
49,49018,483302201,천태산,용당리구간, ,2.41,쉬움,43,30, , , , , ,2016-12-31,2810151400
50,49019,483302201,천태산,용당리구간, ,2.61,쉬움,46,32, , , , , ,2016-12-31,2810151400
51,49020,483302201,천태산,용당리구간, ,2.93,쉬움,52,36, , , , , ,2016-12-31,2810151400
52,49021,483302201,천태산, , ,0.26,쉬움,5,3, , , , , ,2016-12-31,2810151400
53,49022,483302201,천태산, , ,0.92,쉬움,16,11, , , , , ,2016-12-31,2810151400
54,49023,483302201,천태산, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,2810151400
55,49024,483302201,천태산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,2810151400
56,49025,483302201,천태산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,2810151400
57,49026,483302201,천태산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2810151400
58,49027,483302201,천태산,용당리구간, ,0.47,쉬움,8,6, , , , , ,2016-12-31,2810151400
59,49028,483302201,천태산, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,2810151400
60,49029,483302201,천태산, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,2810151400
61,49030,483302201,천태산, , ,0.31,쉬움,5,4, , , , , ,2016-12-31,2810151400
62,49031,483302201,천태산, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,2810151400
63,49032,483302201,천태산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,2810151400
64,49033,483302201,천태산, , ,1.21,쉬움,21,15, , , , , ,2016-12-31,2810151400
65,49034,483302201,천태산, , ,1.0,쉬움,18,12, , , , , ,2016-12-31,2810151400
66,49035,483302201,천태산, , ,0.92,쉬움,16,11, , , , , ,2016-12-31,2810151400
67,49036,483302201,천태산, , ,0.4,쉬움,7,5, , , , , ,2016-12-31,2810151400
68,49037,483302201,천태산, , ,0.28,쉬움,5,3, , , , , ,2016-12-31,2810151400
69,49038,483302201,천태산, , ,0.36,쉬움,6,4, , , , , ,2016-12-31,2810151400
70,49039,483302201,천태산, , ,0.81,쉬움,14,10, , , , , ,2016-12-31,2810151400
71,49040,483302201,천태산, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,2810151400
