FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,49058,451903601,천황산,국포리구간, ,0.39,쉬움,7,5, , , , , ,2016-12-31,451903601
1,49059,451903601,천황산,신파리구간, ,2.52,쉬움,44,31, , , , , ,2016-12-31,451903601
2,49060,451903601,천황산,도룡리구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,451903601
3,49061,451903601,천황산,도룡리구간, ,0.42,쉬움,7,5, , , , , ,2016-12-31,451903601
4,49062,451903601,천황산,국포리구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,451903601
5,49063,451903601,천황산,국포리구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,451903601
6,49064,451903601,천황산,국포리구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,451903601
7,49065,451903601,천황산,국포리구간, ,0.0,쉬움,1,0, , , , , ,2016-12-31,451903601
8,49066,451903601,천황산,도룡리구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,451903601
9,49067,451903601,천황산,신파리구간, ,1.54,쉬움,27,19, , , , , ,2016-12-31,451903601
10,49068,451903601,천황산,대상리구간, ,3.77,쉬움,67,47, , , , , ,2016-12-31,451903601
11,49069,451903601,천황산,도룡리구간, ,1.15,쉬움,20,14, , , , , ,2016-12-31,451903601
12,49070,451903601,천황산,도룡리구간, ,2.97,쉬움,52,37, , , , , ,2016-12-31,451903601
13,49071,451903601,천황산,도룡리구간, ,1.49,쉬움,26,18, , , , , ,2016-12-31,451903601
14,49072,451903601,천황산,도룡리구간, ,0.47,쉬움,8,6, , , , , ,2016-12-31,451903601
15,49073,451903601,천황산,국포리구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,451903601
16,49074,451903601,천황산,국포리구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,451903601
17,49075,451903601,천황산,도룡리구간, ,0.53,쉬움,9,7, , , , , ,2016-12-31,451903601
