FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,49109,267101601,철마산,송정리구간, ,0.63,쉬움,11,8, , , , , ,2016-12-31,267101601
1,49110,267101601,철마산,송정리구간, ,0.34,쉬움,6,4, , , , , ,2016-12-31,267101601
2,49111,267101601,철마산,임기리구간, ,0.8,쉬움,14,10, , , , , ,2016-12-31,267101601
3,49112,267101601,철마산,임기리구간, ,0.36,쉬움,6,4, , , , , ,2016-12-31,267101601
4,49113,267101601,철마산,송정리구간, ,0.79,쉬움,14,10, , , , , ,2016-12-31,267101601
5,49114,267101601,철마산,송정리구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,267101601
6,49115,267101601,철마산,송정리구간, ,0.39,쉬움,7,5, , , , , ,2016-12-31,267101601
7,49116,267101601,철마산,송정리구간, ,0.41,쉬움,7,5, , , , , ,2016-12-31,267101601
8,49117,267101601,철마산,송정리구간, ,0.23,쉬움,4,3, , , , , ,2016-12-31,267101601
9,49118,267101601,철마산,송정리구간, ,0.79,쉬움,14,10, , , , , ,2016-12-31,267101601
10,49119,267101601,철마산,임기리구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,267101601
11,49120,267101601,철마산,임기리구간, ,0.21,쉬움,4,3, , , , , ,2016-12-31,267101601
12,49121,267101601,철마산,임기리구간, ,0.81,쉬움,14,10, , , , , ,2016-12-31,267101601
13,49122,267101601,철마산,송정리구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,267101601
14,49123,267101601,철마산,임기리구간, ,0.54,쉬움,10,7, , , , , ,2016-12-31,267101601
15,49124,267101601,철마산,송정리구간, ,1.03,쉬움,18,13, , , , , ,2016-12-31,267101601
16,49125,267101601,철마산,송정리구간, ,0.32,쉬움,6,4, , , , , ,2016-12-31,267101601
17,49126,267101601,철마산,송정리구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,267101601
18,49127,267101601,철마산,송정리구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,267101601
19,49128,267101601,철마산,임기리구간, ,0.65,쉬움,11,8, , , , , ,2016-12-31,267101601
20,49129,267101601,철마산,임기리구간, ,0.49,쉬움,9,6, , , , , ,2016-12-31,267101601
21,49130,267101601,철마산,임기리구간, ,0.31,쉬움,5,4, , , , , ,2016-12-31,267101601
22,49131,267101601,철마산,임기리구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,267101601
23,49132,267101601,철마산,임기리구간, ,0.39,쉬움,7,5, , , , , ,2016-12-31,267101601
24,49133,267101601,철마산,임기리구간, ,0.44,쉬움,8,5, , , , , ,2016-12-31,267101601
25,49134,267101601,철마산,임기리구간, ,1.26,쉬움,22,16, , , , , ,2016-12-31,267101601
26,49135,267101601,철마산,임곡리구간, ,0.78,쉬움,14,10, , , , , ,2016-12-31,267101601
27,49136,267101601,철마산,임곡리구간, ,0.4,쉬움,7,5, , , , , ,2016-12-31,267101601
28,49137,267101601,철마산,임곡리구간, ,2.19,쉬움,39,27, , , , , ,2016-12-31,267101601
29,49138,267101601,철마산,임기리구간, ,0.4,쉬움,7,5, , , , , ,2016-12-31,267101601
30,49139,267101601,철마산,임기리구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,267101601
31,49140,267101601,철마산,임기리구간, ,0.16,쉬움,3,2, , , , , ,2016-12-31,267101601
32,49141,267101601,철마산,송정리구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,267101601
33,49142,267101601,철마산,송정리구간, ,0.29,쉬움,5,4, , , , , ,2016-12-31,267101601
34,49143,267101601,철마산,송정리구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,267101601
35,49144,267101601,철마산,송정리구간, ,0.37,쉬움,7,5, , , , , ,2016-12-31,267101601
36,49145,267101601,철마산,송정리구간, ,0.27,쉬움,5,3, , , , , ,2016-12-31,267101601
37,49146,267101601,철마산,임곡리구간, ,0.33,쉬움,6,4, , , , , ,2016-12-31,267101601
38,49147,267101601,철마산,임곡리구간, ,0.66,쉬움,12,8, , , , , ,2016-12-31,267101601
39,49148,267101601,철마산,임곡리구간, ,0.69,쉬움,12,9, , , , , ,2016-12-31,267101601
40,49149,267101601,철마산,임곡리구간, ,0.37,쉬움,7,5, , , , , ,2016-12-31,267101601
41,49150,267101601,철마산,임기리구간, ,0.5,쉬움,9,6, , , , , ,2016-12-31,267101601
42,49151,267101601,철마산,임기리구간, ,0.08,중간,1,1, , , , , ,2016-12-31,267101601
43,49152,267101601,철마산,임기리구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,267101601
44,49153,267101601,철마산,송정리구간, ,0.48,쉬움,8,6, , , , , ,2016-12-31,267101601
45,49154,267101601,철마산,임기리구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,267101601
46,49155,267101601,철마산,임기리구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,267101601
47,49156,267101601,철마산,송정리구간, ,0.95,쉬움,17,12, , , , , ,2016-12-31,267101601
48,49157,267101601,철마산,임기리구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,267101601
49,49158,267101601,철마산,임기리구간, ,0.48,쉬움,8,6, , , , , ,2016-12-31,267101601
50,49159,267101601,철마산,임기리구간, ,0.12,쉬움,2,1, , , , , ,2016-12-31,267101601
51,49160,267101601,철마산,임곡리구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,267101601
52,49161,267101601,철마산,임곡리구간, ,0.36,쉬움,6,4, , , , , ,2016-12-31,267101601
53,49162,267101601,철마산,임곡리구간, ,1.01,쉬움,18,12, , , , , ,2016-12-31,267101601
54,49163,267101601,철마산,임기리구간, ,0.18,쉬움,3,2, , , , , ,2016-12-31,267101601
55,49164,267101601,철마산,임기리구간, ,0.38,쉬움,7,5, , , , , ,2016-12-31,267101601
56,49165,267101601,철마산,임기리구간, ,0.6,쉬움,11,7, , , , , ,2016-12-31,267101601
57,49166,267101601,철마산,임기리구간, ,0.9,쉬움,16,11, , , , , ,2016-12-31,267101601
58,49167,267101601,철마산,임기리구간, ,0.24,쉬움,4,3, , , , , ,2016-12-31,267101601
