FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,49591,469002101,첨찰산,아리랑비구간, ,1.7,쉬움,30,21, , , , , ,2016-12-31,2619012100
1,49592,469002101,첨찰산, , ,0.33,쉬움,6,4, , , , , ,2016-12-31,2619012100
2,49593,469002101,첨찰산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2619012100
3,49594,469002101,첨찰산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,2619012100
4,49595,469002101,첨찰산, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,2619012100
5,49596,469002101,첨찰산, , ,1.05,쉬움,19,13, , , , , ,2016-12-31,2619012100
6,49597,469002101,첨찰산, , ,0.65,쉬움,11,8, , , , , ,2016-12-31,2619012100
7,49598,469002101,첨찰산, , ,1.38,쉬움,24,17, , , , , ,2016-12-31,2619012100
8,49599,469002101,첨찰산, , ,1.86,쉬움,33,23, , , , , ,2016-12-31,2619012100
9,49600,469002101,첨찰산,사천리구간, ,0.78,쉬움,14,10, , , , , ,2016-12-31,2619012100
10,49601,469002101,첨찰산,사천리구간, ,0.75,쉬움,19,13, , , , , ,2016-12-31,2619012100
11,49602,469002101,첨찰산, , ,3.78,쉬움,67,47, , , , , ,2016-12-31,2619012100
12,49603,469002101,첨찰산,사천리구간, ,0.5,쉬움,9,6, , , , , ,2016-12-31,2619012100
13,49604,469002101,첨찰산,쌍계사주차장구간,주차장 ~ 쌍계사 ~ 넓적바위 ~ 정상 ~ 기상대 ~ 덕신산 ~ 학정봉 ~ 주차장,1.91,쉬움,41,29, , , , , ,2016-12-31,2619012100
14,49605,469002101,첨찰산,아리랑비구간, ,1.68,쉬움,30,21, , , , , ,2016-12-31,2619012100
