FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,49617,412900401,청계산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,2105990400
1,49618,412900401,청계산,상적동구간, ,3.62,쉬움,91,63, , , , , ,2016-12-31,2105990400
2,49619,412900401,청계산, , ,1.2,쉬움,21,15, , , , , ,2016-12-31,2105990400
3,49620,412900401,청계산, , ,0.44,쉬움,8,5, , , , , ,2016-12-31,2105990400
4,49621,412900401,청계산, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,2105990400
5,49622,412900401,청계산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2105990400
6,49623,412900401,청계산,금토동구간, ,0.44,쉬움,8,5, , , , , ,2016-12-31,2105990400
7,49624,412900401,청계산,상적동구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,2105990400
8,49625,412900401,청계산,상적동구간, ,1.08,쉬움,19,13, , , , , ,2016-12-31,2105990400
9,49626,412900401,청계산,상적동구간, ,1.12,쉬움,21,15, , , , , ,2016-12-31,2105990400
10,49627,412900401,청계산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,2105990400
11,49628,412900401,청계산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,2105990400
12,49629,412900401,청계산, , ,0.54,쉬움,10,7, , , , , ,2016-12-31,2105990400
13,49630,412900401,청계산, , ,0.47,쉬움,8,6, , , , , ,2016-12-31,2105990400
14,49631,412900401,청계산, , ,0.57,쉬움,10,7, , , , , ,2016-12-31,2105990400
15,49632,412900401,청계산,석운동구간, ,1.26,쉬움,27,19, , , , , ,2016-12-31,2105990400
16,49633,412900401,청계산, , ,1.01,쉬움,18,12, , , , , ,2016-12-31,2105990400
17,49634,412900401,청계산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,2105990400
18,49635,412900401,청계산, , ,0.78,쉬움,14,10, , , , , ,2016-12-31,2105990400
19,49636,412900401,청계산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,2105990400
20,49637,412900401,청계산, , ,0.79,쉬움,14,10, , , , , ,2016-12-31,2105990400
21,49638,412900401,청계산, , ,0.37,쉬움,7,5, , , , , ,2016-12-31,2105990400
22,49639,412900401,청계산, , ,0.35,쉬움,6,4, , , , , ,2016-12-31,2105990400
23,49640,412900401,청계산, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,2105990400
24,49641,412900401,청계산, , ,0.75,쉬움,13,9, , , , , ,2016-12-31,2105990400
25,49642,412900401,청계산, , ,0.98,쉬움,17,12, , , , , ,2016-12-31,2105990400
26,49643,412900401,청계산, , ,0.83,쉬움,15,10, , , , , ,2016-12-31,2105990400
27,49644,412900401,청계산, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,2105990400
28,49645,412900401,청계산, , ,0.66,쉬움,12,8, , , , , ,2016-12-31,2105990400
29,49646,412900401,청계산, , ,0.24,쉬움,4,3, , , , , ,2016-12-31,2105990400
30,49647,412900401,청계산, , ,1.31,쉬움,23,16, , , , , ,2016-12-31,2105990400
31,49648,412900401,청계산,양재동구간, ,0.85,쉬움,15,11, , , , , ,2016-12-31,2105990400
32,49649,412900401,청계산,주암동구간, ,0.77,쉬움,14,10, , , , , ,2016-12-31,2105990400
33,49650,412900401,청계산, , ,2.8,쉬움,49,35, , , , , ,2016-12-31,2105990400
34,49651,412900401,청계산, , ,2.02,쉬움,36,25, , , , , ,2016-12-31,2105990400
35,49652,412900401,청계산, , ,2.7,쉬움,48,33, , , , , ,2016-12-31,2105990400
36,49653,412900401,청계산, , ,2.07,쉬움,37,26, , , , , ,2016-12-31,2105990400
37,49654,412900401,청계산, , ,1.29,쉬움,23,16, , , , , ,2016-12-31,2105990400
