FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,50136,479203401,청량산_의상봉, , ,1.01,쉬움,18,12, , , , , ,2016-12-31,2708013300
1,50137,479203401,청량산_의상봉, , ,0.35,쉬움,6,4, , , , , ,2016-12-31,2708013300
2,50138,479203401,청량산_의상봉, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,2708013300
3,50139,479203401,청량산_의상봉, , ,0.8,쉬움,14,10, , , , , ,2016-12-31,2708013300
4,50140,479203401,청량산_의상봉,북곡리구간, ,0.06,중간,1,1, , , , , ,2016-12-31,2708013300
5,50141,479203401,청량산_의상봉,북곡리구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,2708013300
6,50142,479203401,청량산_의상봉,북곡리구간, ,1.22,쉬움,31,21, , , , , ,2016-12-31,2708013300
7,50143,479203401,청량산_의상봉,북곡리구간, ,0.31,쉬움,5,4, , , , , ,2016-12-31,2708013300
8,50144,479203401,청량산_의상봉, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2708013300
9,50145,479203401,청량산_의상봉, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,2708013300
10,50146,479203401,청량산_의상봉,북곡리구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,2708013300
11,50147,479203401,청량산_의상봉, , ,0.43,쉬움,8,5, , , , , ,2016-12-31,2708013300
12,50148,479203401,청량산_의상봉,북곡리구간, ,1.19,쉬움,21,15, , , , , ,2016-12-31,2708013300
13,50149,479203401,청량산_의상봉, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,2708013300
14,50150,479203401,청량산_의상봉,북곡리구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,2708013300
15,50151,479203401,청량산_의상봉,북곡리구간, ,0.81,쉬움,17,12, , , , , ,2016-12-31,2708013300
16,50152,479203401,청량산_의상봉, , ,0.69,쉬움,12,9, , , , , ,2016-12-31,2708013300
17,50153,479203401,청량산_의상봉, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,2708013300
18,50154,479203401,청량산_의상봉, , ,0.67,쉬움,12,8, , , , , ,2016-12-31,2708013300
19,50155,479203401,청량산_의상봉, , ,0.71,쉬움,13,9, , , , , ,2016-12-31,2708013300
20,50156,479203401,청량산_의상봉,북곡리구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,2708013300
21,50157,479203401,청량산_의상봉, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2708013300
22,50158,479203401,청량산_의상봉, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,2708013300
23,50159,479203401,청량산_의상봉,북곡리구간, ,0.76,쉬움,13,9, , , , , ,2016-12-31,2708013300
24,50160,479203401,청량산_의상봉, , ,0.61,쉬움,11,8, , , , , ,2016-12-31,2708013300
25,50161,479203401,청량산_의상봉, , ,0.66,쉬움,12,8, , , , , ,2016-12-31,2708013300
26,50162,479203401,청량산_의상봉, , ,0.41,쉬움,7,5, , , , , ,2016-12-31,2708013300
