FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,50163,272900601,청룡산, , ,0.31,쉬움,5,4, , , , , ,2016-12-31,1302280700
1,50164,272900601,청룡산, , ,1.21,쉬움,21,15, , , , , ,2016-12-31,1302280700
2,50165,272900601,청룡산, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,1302280700
3,50166,272900601,청룡산, , ,0.89,쉬움,16,11, , , , , ,2016-12-31,1302280700
4,50167,272900601,청룡산,도원동구간, ,2.01,쉬움,35,25, , , , , ,2016-12-31,1302280700
5,50168,272900601,청룡산, , ,0.33,쉬움,6,4, , , , , ,2016-12-31,1302280700
6,50169,272900601,청룡산, , ,0.48,쉬움,8,6, , , , , ,2016-12-31,1302280700
7,50170,272900601,청룡산, , ,2.14,쉬움,80,56, , , , , ,2016-12-31,1302280700
8,50171,272900601,청룡산,상인동구간, ,4.94,쉬움,185,130, , , , , ,2016-12-31,1302280700
9,50172,272900601,청룡산,도원동구간, ,0.55,쉬움,10,7, , , , , ,2016-12-31,1302280700
10,50173,272900601,청룡산,대곡동구간, ,0.83,쉬움,21,15, , , , , ,2016-12-31,1302280700
11,50174,272900601,청룡산,대곡동구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,1302280700
12,50175,272900601,청룡산, , ,0.63,쉬움,11,8, , , , , ,2016-12-31,1302280700
13,50176,272900601,청룡산, , ,0.37,쉬움,7,5, , , , , ,2016-12-31,1302280700
14,50177,272900601,청룡산,도원동구간, ,0.92,쉬움,20,14, , , , , ,2016-12-31,1302280700
15,50178,272900601,청룡산,상인동구간, ,0.54,쉬움,10,7, , , , , ,2016-12-31,1302280700
16,50179,272900601,청룡산, , ,0.51,쉬움,9,6, , , , , ,2016-12-31,1302280700
17,50180,272900601,청룡산,도원동구간, ,0.6,쉬움,11,8, , , , , ,2016-12-31,1302280700
18,50181,272900601,청룡산,도원동구간, ,1.02,쉬움,31,21, , , , , ,2016-12-31,1302280700
19,50182,272900601,청룡산,도원동구간, ,0.27,쉬움,5,3, , , , , ,2016-12-31,1302280700
20,50183,272900601,청룡산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,1302280700
21,50184,272900601,청룡산, , ,0.41,쉬움,7,5, , , , , ,2016-12-31,1302280700
22,50185,272900601,청룡산,도원동구간, ,0.77,쉬움,14,10, , , , , ,2016-12-31,1302280700
23,50186,272900601,청룡산,도원동구간, ,0.18,쉬움,3,2, , , , , ,2016-12-31,1302280700
24,50187,272900601,청룡산, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,1302280700
25,50188,272900601,청룡산, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,1302280700
26,50189,272900601,청룡산,도원동구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,1302280700
27,50190,272900601,청룡산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,1302280700
28,50191,272900601,청룡산, , ,0.23,쉬움,4,3, , , , , ,2016-12-31,1302280700
29,50192,272900601,청룡산,도원동구간, ,0.43,쉬움,8,5, , , , , ,2016-12-31,1302280700
