FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,50450,479203501,청옥산,대현리구간, ,2.37,쉬움,42,29, , , , , ,2016-12-31,479203501
1,50451,479203501,청옥산,대현리구간, ,1.32,쉬움,23,16, , , , , ,2016-12-31,479203501
2,50452,479203501,청옥산, , ,0.3,쉬움,5,4, , , , , ,2016-12-31,479203501
3,50453,479203501,청옥산,대현리구간, ,0.73,쉬움,13,9, , , , , ,2016-12-31,479203501
4,50454,479203501,청옥산,고선리구간,넛재 - 생태경영림 숲길 - 산림습원복원지- 청옥산정상- 진달래 군락지 - 넛재,2.51,쉬움,94,66, , , , , ,2016-12-31,479203501
5,50455,479203501,청옥산,고선리구간, ,7.07,쉬움,265,186, , , , , ,2016-12-31,479203501
6,50456,479203501,청옥산, , ,1.26,쉬움,24,17, , , , , ,2016-12-31,479203501
7,50457,479203501,청옥산, , ,1.63,쉬움,31,21, , , , , ,2016-12-31,479203501
8,50458,479203501,청옥산,대현리구간, ,4.97,쉬움,186,130, , , , , ,2016-12-31,479203501
9,50459,479203501,청옥산,생태경영림탐방로구간, ,2.56,쉬움,96,67, , , , , ,2016-12-31,479203501
10,50460,479203501,청옥산,고선리구간,넛재 - 생태경영림 숲길 - 산림습원복원지- 청옥산정상- 진달래 군락지 - 넛재,0.73,쉬움,13,9, , , , , ,2016-12-31,479203501
