FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,50484,277103904,초곡산성,논공읍 초곡리구간,모은사,0.23,쉬움,4,3, , , ,유해조수, ,2016-12-31,277103904
1,50485,277103904,초곡산성,논공읍 초곡리구간, ,0.31,쉬움,5,4, , , ,유해조수, ,2016-12-31,277103904
2,50486,277103904,초곡산성,논공읍 초곡리구간, ,0.08,쉬움,1,1, , , ,유해조수, ,2016-12-31,277103904
3,50487,277103904,초곡산성,논공읍 초곡리구간, ,0.06,쉬움,1,1, , , ,유해조수, ,2016-12-31,277103904
4,50488,277103904,초곡산성,논공읍 초곡리구간, ,0.08,쉬움,1,1, , , ,유해조수, ,2016-12-31,277103904
5,50489,277103904,초곡산성,논공읍 초곡리구간, ,0.06,쉬움,1,1, , , ,유해조수, ,2016-12-31,277103904
6,50490,277103904,초곡산성,논공읍 초곡리구간, ,0.06,쉬움,1,1, , , ,유해조수, ,2016-12-31,277103904
7,50491,277103904,초곡산성,논공읍 초곡리구간, ,0.26,쉬움,5,3, , , ,유해조수, ,2016-12-31,277103904
8,50492,277103904,초곡산성,논공읍 초곡리구간, ,0.16,쉬움,3,2, , , ,유해조수, ,2016-12-31,277103904
9,50493,277103904,초곡산성,논공읍 초곡리구간, ,0.35,쉬움,6,4, , , ,유해조수, ,2016-12-31,277103904
10,50494,277103904,초곡산성,논공읍 초곡리구간, ,0.14,쉬움,2,2, , , ,유해조수, ,2016-12-31,277103904
11,50495,277103904,초곡산성,논공읍 초곡리구간, ,0.93,쉬움,16,11, , , ,유해조수, ,2016-12-31,277103904
12,50496,277103904,초곡산성,논공읍 초곡리구간, ,0.46,쉬움,8,6, , , ,유해조수, ,2016-12-31,277103904
