FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,50720,277103301,최정산, , ,0.83,쉬움,15,10, , , , , ,2016-12-31,1303013300
1,50721,277103301,최정산, , ,1.9,쉬움,34,23, , , , , ,2016-12-31,1303013300
2,50722,277103301,최정산,우록리구간, ,0.29,쉬움,5,4, , , , , ,2016-12-31,1303013300
3,50723,277103301,최정산, , ,0.69,쉬움,12,9, , , , , ,2016-12-31,1303013300
4,50724,277103301,최정산,냉천리구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,1303013300
5,50725,277103301,최정산,냉천리구간, ,1.16,쉬움,35,24, , , , , ,2016-12-31,1303013300
6,50726,277103301,최정산,냉천리구간, ,0.93,중간,28,20, , , , , ,2016-12-31,1303013300
7,50727,277103301,최정산, , ,0.91,쉬움,16,11, , , , , ,2016-12-31,1303013300
8,50728,277103301,최정산, , ,0.58,쉬움,10,7, , , , , ,2016-12-31,1303013300
9,50729,277103301,최정산, , ,0.62,쉬움,11,8, , , , , ,2016-12-31,1303013300
10,50730,277103301,최정산, , ,1.4,쉬움,25,17, , , , , ,2016-12-31,1303013300
11,50731,277103301,최정산, , ,1.12,쉬움,20,14, , , , , ,2016-12-31,1303013300
12,50732,277103301,최정산, , ,1.78,쉬움,31,22, , , , , ,2016-12-31,1303013300
13,50733,277103301,최정산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,1303013300
14,50734,277103301,최정산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,1303013300
15,50735,277103301,최정산,우록리구간, ,0.94,쉬움,17,12, , , , , ,2016-12-31,1303013300
16,50736,277103301,최정산, , ,0.26,쉬움,5,3, , , , , ,2016-12-31,1303013300
17,50737,277103301,최정산, , ,0.47,쉬움,8,6, , , , , ,2016-12-31,1303013300
18,50738,277103301,최정산, , ,0.39,쉬움,7,5, , , , , ,2016-12-31,1303013300
19,50739,277103301,최정산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,1303013300
20,50740,277103301,최정산, , ,1.05,쉬움,19,13, , , , , ,2016-12-31,1303013300
21,50741,277103301,최정산, , ,1.23,쉬움,22,15, , , , , ,2016-12-31,1303013300
22,50742,277103301,최정산, , ,0.87,쉬움,15,11, , , , , ,2016-12-31,1303013300
23,50743,277103301,최정산, , ,0.97,쉬움,17,12, , , , , ,2016-12-31,1303013300
24,50744,277103301,최정산, , ,0.57,쉬움,10,7, , , , , ,2016-12-31,1303013300
25,50745,277103301,최정산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,1303013300
26,50746,277103301,최정산, , ,0.73,쉬움,13,9, , , , , ,2016-12-31,1303013300
27,50747,277103301,최정산, , ,0.73,쉬움,13,9, , , , , ,2016-12-31,1303013300
28,50748,277103301,최정산, , ,1.11,쉬움,20,14, , , , , ,2016-12-31,1303013300
29,50749,277103301,최정산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,1303013300
30,50750,277103301,최정산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,1303013300
31,50751,277103301,최정산,삼산리구간, ,0.51,쉬움,9,6, , , , , ,2016-12-31,1303013300
32,50752,277103301,최정산,우록리구간, ,1.71,쉬움,64,45, , , , , ,2016-12-31,1303013300
33,50753,277103301,최정산,우록리구간, ,2.44,쉬움,43,30, , , , , ,2016-12-31,1303013300
34,50754,277103301,최정산,우록리구간, ,1.62,쉬움,29,20, , , , , ,2016-12-31,1303013300
35,50755,277103301,최정산, , ,2.07,쉬움,37,26, , , , , ,2016-12-31,1303013300
36,50756,277103301,최정산,우록리구간, ,1.64,쉬움,29,20, , , , , ,2016-12-31,1303013300
37,50757,277103301,최정산, , ,0.62,쉬움,11,8, , , , , ,2016-12-31,1303013300
38,50758,277103301,최정산,오리구간, ,1.33,쉬움,23,16, , , , , ,2016-12-31,1303013300
39,50759,277103301,최정산, , ,0.69,쉬움,12,9, , , , , ,2016-12-31,1303013300
40,50760,277103301,최정산,광덕사구간,가창저수지도로변 광덕사 입구→배바위→주암산 정상(847m)→KT중계탑→최정산헬기장→운흥사→광덕사,1.26,중간,47,33, , , , , ,2016-12-31,1303013300
41,50761,277103301,최정산, , ,1.49,쉬움,26,18, , , , , ,2016-12-31,1303013300
42,50762,277103301,최정산,용계리구간, ,0.37,중간,7,5, , , , , ,2016-12-31,1303013300
43,50763,277103301,최정산,용계리구간, ,0.66,쉬움,12,9, , , , , ,2016-12-31,1303013300
44,50764,277103301,최정산, , ,1.27,쉬움,22,16, , , , , ,2016-12-31,1303013300
45,50765,277103301,최정산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,1303013300
46,50766,277103301,최정산, , ,1.64,쉬움,29,20, , , , , ,2016-12-31,1303013300
47,50767,277103301,최정산, , ,0.88,쉬움,16,11, , , , , ,2016-12-31,1303013300
48,50768,277103301,최정산,주리구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,1303013300
49,50769,277103301,최정산, , ,2.93,쉬움,52,36, , , , , ,2016-12-31,1303013300
50,50770,277103301,최정산, , ,1.46,쉬움,26,18, , , , , ,2016-12-31,1303013300
51,50771,277103301,최정산, , ,1.26,쉬움,22,16, , , , , ,2016-12-31,1303013300
52,50772,277103301,최정산,우록리구간, ,0.74,쉬움,13,9, , , , , ,2016-12-31,1303013300
53,50773,277103301,최정산, , ,2.49,쉬움,44,31, , , , , ,2016-12-31,1303013300
54,50774,277103301,최정산, , ,1.05,쉬움,19,13, , , , , ,2016-12-31,1303013300
55,50775,277103301,최정산, , ,0.4,쉬움,7,5, , , , , ,2016-12-31,1303013300
56,50776,277103301,최정산, , ,0.9,쉬움,16,11, , , , , ,2016-12-31,1303013300
57,50777,277103301,최정산,주리구간, ,4.37,쉬움,164,115, , , , , ,2016-12-31,1303013300
58,50778,277103301,최정산, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,1303013300
59,50779,277103301,최정산, , ,0.28,쉬움,5,3, , , , , ,2016-12-31,1303013300
