FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,50973,441303201,취암산,교천리구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,2413434000
1,50974,441303201,취암산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,2413434000
2,50975,441303201,취암산, , ,0.24,쉬움,4,3, , , , , ,2016-12-31,2413434000
3,50976,441303201,취암산,응원리구간, ,1.36,쉬움,24,17, , , , , ,2016-12-31,2413434000
4,50977,441303201,취암산, , ,0.37,쉬움,7,5, , , , , ,2016-12-31,2413434000
5,50978,441303201,취암산, , ,0.35,쉬움,6,4, , , , , ,2016-12-31,2413434000
6,50979,441303201,취암산,응원리구간, ,0.72,쉬움,13,9, , , , , ,2016-12-31,2413434000
7,50980,441303201,취암산, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,2413434000
8,50981,441303201,취암산,신계리구간, ,0.16,쉬움,3,2, , , , , ,2016-12-31,2413434000
9,50982,441303201,취암산, , ,0.28,쉬움,5,3, , , , , ,2016-12-31,2413434000
10,50983,441303201,취암산, , ,0.36,쉬움,6,4, , , , , ,2016-12-31,2413434000
11,50984,441303201,취암산, , ,0.29,쉬움,5,4, , , , , ,2016-12-31,2413434000
12,50985,441303201,취암산, , ,1.8,쉬움,32,22, , , , , ,2016-12-31,2413434000
13,50986,441303201,취암산, , ,0.61,쉬움,11,8, , , , , ,2016-12-31,2413434000
14,50987,441303201,취암산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,2413434000
15,50988,441303201,취암산, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,2413434000
16,50989,441303201,취암산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,2413434000
17,50990,441303201,취암산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,2413434000
18,50991,441303201,취암산, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,2413434000
19,50992,441303201,취암산, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,2413434000
20,50993,441303201,취암산,교천리구간, ,0.65,쉬움,11,8, , , , , ,2016-12-31,2413434000
21,50994,441303201,취암산,교천리구간, ,0.8,쉬움,17,12, , , , , ,2016-12-31,2413434000
22,50995,441303201,취암산,유량동구간, ,1.08,쉬움,19,13, , , , , ,2016-12-31,2413434000
23,50996,441303201,취암산,삼룡동구간, ,0.57,쉬움,11,7, , , , , ,2016-12-31,2413434000
24,50997,441303201,취암산,구성동구간, ,0.59,쉬움,10,7, , , , , ,2016-12-31,2413434000
25,50998,441303201,취암산,지산리구간, ,0.9,쉬움,16,11, , , , , ,2016-12-31,2413434000
