FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,51009,457104001,치마산,항가리구간, ,0.74,쉬움,13,9,암석/전석/토사, , , , ,2016-12-31,457104001
1,51010,457104001,치마산,항가리구간, ,0.1,쉬움,2,1,암석/전석/토사, , , , ,2016-12-31,457104001
2,51011,457104001,치마산,항가리구간, ,1.21,쉬움,21,15,암석/전석/토사, , , , ,2016-12-31,457104001
3,51012,457104001,치마산,계곡리구간, ,0.97,쉬움,17,12,암석/전석/토사, , , , ,2016-12-31,457104001
4,51013,457104001,치마산,계곡리구간, ,0.11,쉬움,2,1,암석/전석/토사, , , , ,2016-12-31,457104001
5,51014,457104001,치마산,계곡리구간, ,1.77,쉬움,31,22,암석/전석/토사, , , , ,2016-12-31,457104001
6,51015,457104001,치마산,덕천리구간, ,0.45,쉬움,8,6,암석/전석/토사, , , , ,2016-12-31,457104001
7,51016,457104001,치마산,덕천리구간, ,0.14,쉬움,2,2,암석/전석/토사, , , , ,2016-12-31,457104001
8,51017,457104001,치마산,항가리구간, ,1.93,쉬움,34,24,암석/전석/토사, , , , ,2016-12-31,457104001
9,51018,457104001,치마산,계곡리구간, ,1.79,쉬움,32,22,암석/전석/토사, , , , ,2016-12-31,457104001
