FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,51030,411170701,칠보산,호매실동구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,411130101
1,51031,411170701,칠보산, , ,0.31,쉬움,5,4, , , , , ,2016-12-31,411130101
2,51032,411170701,칠보산,호매실동구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,411130101
3,51033,411170701,칠보산,금곡동구간, ,0.73,쉬움,13,9, , , , , ,2016-12-31,411130101
4,51034,411170701,칠보산, , ,0.39,쉬움,7,5, , , , , ,2016-12-31,411130101
5,51035,411170701,칠보산,금곡동구간, ,0.47,쉬움,8,6, , , , , ,2016-12-31,411130101
6,51036,411170701,칠보산, , ,0.57,쉬움,10,7, , , , , ,2016-12-31,411130101
7,51037,411170701,칠보산,당수동구간, ,0.77,쉬움,14,10, , , , , ,2016-12-31,411130101
8,51038,411170701,칠보산,당수동구간, ,0.72,쉬움,14,9, , , , , ,2016-12-31,411130101
9,51039,411170701,칠보산,천천리구간, ,0.44,쉬움,8,5, , , , , ,2016-12-31,415902801
10,51040,411170701,칠보산,천천리구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,415902801
11,51041,411170701,칠보산,천천리구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,415902801
12,51042,411170701,칠보산,원평리구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,415902801
13,51043,411170701,칠보산,원평리구간, ,0.27,쉬움,5,3, , , , , ,2016-12-31,415902801
14,51044,411170701,칠보산, , ,0.65,쉬움,11,8, , , , , ,2016-12-31,415902801
15,51045,411170701,칠보산, , ,0.51,쉬움,9,6, , , , , ,2016-12-31,415902801
16,51046,411170701,칠보산, , ,0.76,쉬움,13,9, , , , , ,2016-12-31,415902801
17,51047,411170701,칠보산, , ,0.46,쉬움,8,6, , , , , ,2016-12-31,415902801
18,51048,411170701,칠보산,천천리구간, ,0.6,쉬움,11,7, , , , , ,2016-12-31,415902801
19,51049,411170701,칠보산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,415902801
20,51050,411170701,칠보산, , ,0.55,쉬움,10,7, , , , , ,2016-12-31,415902801
21,51051,411170701,칠보산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,415902801
22,51052,411170701,칠보산,원평리구간, ,1.13,쉬움,28,20, , , , , ,2016-12-31,415902801
23,51053,411170701,칠보산,원평리구간, ,1.68,쉬움,30,21, , , , , ,2016-12-31,415902801
24,51054,411170701,칠보산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,415902801
25,51055,411170701,칠보산, , ,1.08,쉬움,19,13, , , , , ,2016-12-31,411130101
26,51056,411170701,칠보산, , ,0.56,쉬움,10,7, , , , , ,2016-12-31,411130101
27,51057,411170701,칠보산, , ,1.49,쉬움,26,18, , , , , ,2016-12-31,411130101
28,51058,411170701,칠보산,당수동구간, ,0.65,쉬움,11,8, , , , , ,2016-12-31,412710301
29,51059,411170701,칠보산, , ,0.8,쉬움,14,10, , , , , ,2016-12-31,411130101
30,51060,411170701,칠보산,천천리구간, ,1.28,쉬움,23,16, , , , , ,2016-12-31,415902801
