FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,51206,421702201,탑산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,421701601
1,51207,421702201,탑산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,421701601
2,51208,421702201,탑산, , ,0.3,쉬움,5,4, , , , , ,2016-12-31,421701601
3,51209,421702201,탑산, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,421701601
4,51210,421702201,탑산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,421701601
5,51211,421702201,탑산,천곡동구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,421701601
6,51212,421702201,탑산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,421701601
7,51213,421702201,탑산, , ,0.37,쉬움,7,5, , , , , ,2016-12-31,421701601
8,51214,421702201,탑산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,421701601
9,51215,421702201,탑산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,421701601
10,51216,421702201,탑산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,421701601
11,51217,421702201,탑산,천곡동구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,421701601
12,51218,421702201,탑산, , ,0.32,쉬움,6,4, , , , , ,2016-12-31,421701601
13,51219,421702201,탑산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,421701601
14,51220,421702201,탑산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,421701601
15,51221,421702201,탑산, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,421701601
16,51222,421702201,탑산, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,421701601
17,51223,421702201,탑산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,421701601
18,51224,421702201,탑산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,421701601
19,51225,421702201,탑산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,421701601
20,51226,421702201,탑산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,421701601
21,51227,421702201,탑산,천곡동구간, ,0.05,중간,1,1, , , , , ,2016-12-31,421701601
22,51228,421702201,탑산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,421701601
23,51229,421702201,탑산, , ,0.28,쉬움,5,3, , , , , ,2016-12-31,421701601
24,51230,421702201,탑산,천곡동구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,421701601
25,51231,421702201,탑산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,421701601
26,51232,421702201,탑산, , ,0.55,쉬움,10,7, , , , , ,2016-12-31,421701601
27,51233,421702201,탑산, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,421701601
28,51234,421702201,탑산,천곡동구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,421701601
