FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,51248,421902201,태백산_장군봉, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,2214211300
1,51249,421902201,태백산_장군봉, , ,1.55,쉬움,27,19, , , , , ,2016-12-31,2214211300
2,51250,421902201,태백산_장군봉, , ,0.92,쉬움,16,11, , , , , ,2016-12-31,2214211300
3,51251,421902201,태백산_장군봉, , ,3.33,쉬움,59,41, , , , , ,2016-12-31,2214211300
4,51252,421902201,태백산_장군봉, , ,0.56,쉬움,10,7, , , , , ,2016-12-31,2214211300
5,51253,421902201,태백산_장군봉, , ,0.33,쉬움,6,4, , , , , ,2016-12-31,2214211300
6,51254,421902201,태백산_장군봉, , ,0.24,쉬움,4,3, , , , , ,2016-12-31,2214211300
7,51255,421902201,태백산_장군봉, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,2214211300
8,51256,421902201,태백산_장군봉, , ,2.11,쉬움,37,26, , , , , ,2016-12-31,2214211300
9,51257,421902201,태백산_장군봉, , ,1.89,쉬움,33,23, , , , , ,2016-12-31,2214211300
10,51258,421902201,태백산_장군봉, , ,1.62,쉬움,29,20, , , , , ,2016-12-31,2214211300
11,51259,421902201,태백산_장군봉, , ,1.48,쉬움,26,18, , , , , ,2016-12-31,2214211300
12,51260,421902201,태백산_장군봉,혈동구간, ,1.52,쉬움,27,19, , , , , ,2016-12-31,2214211300
13,51261,421902201,태백산_장군봉,소도동구간, ,1.99,쉬움,60,42, , , , , ,2016-12-31,2214211300
14,51262,421902201,태백산_장군봉,혈동구간, ,1.64,쉬움,29,20, , , , , ,2016-12-31,2214211300
15,51263,421902201,태백산_장군봉,혈동구간, ,0.61,쉬움,11,8, , , , , ,2016-12-31,2214211300
16,51264,421902201,태백산_장군봉,금천동구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,2214211300
17,51265,421902201,태백산_장군봉,소도동구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,2214211300
18,51266,421902201,태백산_장군봉,혈동구간, ,0.69,쉬움,12,9, , , , , ,2016-12-31,2214211300
19,51267,421902201,태백산_장군봉, , ,0.5,쉬움,9,6, , , , , ,2016-12-31,2214211300
20,51268,421902201,태백산_장군봉, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,2214211300
21,51269,421902201,태백산_장군봉, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,2214211300
22,51270,421902201,태백산_장군봉, , ,0.71,쉬움,13,9, , , , , ,2016-12-31,2214211300
23,51271,421902201,태백산_장군봉, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,2214211300
24,51272,421902201,태백산_장군봉, , ,0.73,쉬움,13,9, , , , , ,2016-12-31,2214211300
25,51273,421902201,태백산_장군봉, , ,0.92,쉬움,16,11, , , , , ,2016-12-31,2214211300
26,51274,421902201,태백산_장군봉, , ,1.15,쉬움,20,14, , , , , ,2016-12-31,2214211300
27,51275,421902201,태백산_장군봉, , ,1.29,쉬움,23,16, , , , , ,2016-12-31,2214211300
28,51276,421902201,태백산_장군봉, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,2214211300
29,51277,421902201,태백산_장군봉, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,2214211300
30,51278,421902201,태백산_장군봉, , ,0.68,쉬움,12,8, , , , , ,2016-12-31,2214211300
31,51279,421902201,태백산_장군봉, , ,0.32,쉬움,6,4, , , , , ,2016-12-31,2214211300
32,51280,421902201,태백산_장군봉, , ,0.6,쉬움,11,7, , , , , ,2016-12-31,2214211300
33,51281,421902201,태백산_장군봉, , ,1.53,쉬움,27,19, , , , , ,2016-12-31,2214211300
34,51282,421902201,태백산_장군봉, , ,0.84,쉬움,15,10, , , , , ,2016-12-31,2214211300
35,51283,421902201,태백산_장군봉, , ,0.58,쉬움,10,7, , , , , ,2016-12-31,2214211300
36,51284,421902201,태백산_장군봉, , ,0.3,쉬움,5,4, , , , , ,2016-12-31,2214211300
37,51285,421902201,태백산_장군봉, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,2214211300
38,51286,421902201,태백산_장군봉, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,2214211300
39,51287,421902201,태백산_장군봉, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,2214211300
40,51288,421902201,태백산_장군봉, , ,0.37,쉬움,7,5, , , , , ,2016-12-31,2214211300
41,51289,421902201,태백산_장군봉, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2214211300
42,51290,421902201,태백산_장군봉, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,2214211300
43,51291,421902201,태백산_장군봉, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2214211300
44,51292,421902201,태백산_장군봉, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2214211300
