FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,51537,468802801,태청산, , ,1.19,쉬움,21,15, , , , , ,2016-12-31,2617063100
1,51538,468802801,태청산, , ,1.53,쉬움,27,19, , , , , ,2016-12-31,2617063100
2,51539,468802801,태청산, , ,0.65,쉬움,11,8, , , , , ,2016-12-31,2617063100
3,51540,468802801,태청산,남산리구간, ,0.78,쉬움,14,10, , , , , ,2016-12-31,2617063100
4,51541,468802801,태청산,삼효리구간, ,1.0,쉬움,19,13, , , , , ,2016-12-31,2617063100
5,51542,468802801,태청산,송죽리구간, ,1.71,쉬움,30,21, , , , , ,2016-12-31,2617063100
6,51543,468802801,태청산,송죽리구간, ,0.3,중간,6,4, , , , , ,2016-12-31,2617063100
7,51544,468802801,태청산,남산리구간, ,0.35,쉬움,7,5, , , , , ,2016-12-31,2617063100
8,51545,468802801,태청산,남산리구간, ,0.69,중간,21,14, , , , , ,2016-12-31,2617063100
9,51546,468802801,태청산,남산리구간, ,0.12,쉬움,2,1, , , , , ,2016-12-31,2617063100
10,51547,468802801,태청산, , ,0.28,쉬움,5,3, , , , , ,2016-12-31,2617063100
