FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,51565,416102501,태화산,추곡리구간, ,1.07,쉬움,20,14, , , , , ,2016-12-31,416102501
1,51566,416102501,태화산, , ,1.71,쉬움,30,21, , , , , ,2016-12-31,2107032100
2,51567,416102501,태화산,추곡리구간, ,1.36,쉬움,51,36, , , , , ,2016-12-31,2107032100
3,51568,416102501,태화산,추곡리구간, ,1.25,쉬움,47,33, , , , , ,2016-12-31,2107032100
4,51569,416102501,태화산,상림리구간, ,1.3,쉬움,23,16, , , , , ,2016-12-31,2107032100
5,51570,416102501,태화산, , ,0.73,쉬움,13,9, , , , , ,2016-12-31,2107032100
6,51571,416102501,태화산, , ,0.48,쉬움,8,6, , , , , ,2016-12-31,2107032100
7,51572,416102501,태화산, , ,3.61,쉬움,64,45, , , , , ,2016-12-31,2107032100
8,51573,416102501,태화산,금어리구간, ,2.03,쉬움,44,30, , , , , ,2016-12-31,2107032100
9,51574,416102501,태화산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2107032100
10,51575,416102501,태화산,고림동구간, ,1.46,쉬움,26,18, , , , , ,2016-12-31,2107032100
11,51576,416102501,태화산,고림동구간, ,0.21,쉬움,4,3, , , , , ,2016-12-31,2107032100
12,51577,416102501,태화산, , ,0.85,쉬움,15,11, , , , , ,2016-12-31,2107032100
13,51578,416102501,태화산,주북리구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,2107032100
14,51579,416102501,태화산,금어리구간, ,0.52,쉬움,9,6, , , , , ,2016-12-31,2107032100
15,51580,416102501,태화산, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,2107032100
16,51581,416102501,태화산, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,2107032100
17,51582,416102501,태화산, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,2107032100
18,51583,416102501,태화산, , ,0.23,쉬움,4,3, , , , , ,2016-12-31,2107032100
19,51584,416102501,태화산, , ,0.82,쉬움,14,10, , , , , ,2016-12-31,2107032100
20,51585,416102501,태화산, , ,0.39,쉬움,7,5, , , , , ,2016-12-31,2107032100
21,51586,416102501,태화산, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,2107032100
22,51587,416102501,태화산,유정리구간, ,0.58,쉬움,10,7, , , , , ,2016-12-31,2107032100
23,51588,416102501,태화산,유정리구간, ,0.48,쉬움,8,6, , , , , ,2016-12-31,2107032100
24,51589,416102501,태화산, , ,0.33,쉬움,6,4, , , , , ,2016-12-31,2107032100
25,51590,416102501,태화산, , ,0.62,쉬움,11,8, , , , , ,2016-12-31,2107032100
26,51591,416102501,태화산, , ,0.7,쉬움,12,9, , , , , ,2016-12-31,2107032100
27,51592,416102501,태화산, , ,0.62,쉬움,11,8, , , , , ,2016-12-31,2107032100
28,51593,416102501,태화산, , ,0.88,쉬움,16,11, , , , , ,2016-12-31,2107032100
29,51594,416102501,태화산, , ,1.34,쉬움,24,17, , , , , ,2016-12-31,2107032100
30,51595,416102501,태화산, , ,0.63,쉬움,11,8, , , , , ,2016-12-31,2107032100
31,51596,416102501,태화산, , ,0.35,쉬움,6,4, , , , , ,2016-12-31,2107032100
32,51597,416102501,태화산, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,2107032100
33,51598,416102501,태화산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,2107032100
34,51599,416102501,태화산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2107032100
35,51600,416102501,태화산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,2107032100
36,51601,416102501,태화산,대대리구간, ,0.55,쉬움,10,7, , , , , ,2016-12-31,2107032100
37,51602,416102501,태화산,대대리구간, ,1.0,쉬움,25,18, , , , , ,2016-12-31,2107032100
38,51603,416102501,태화산,금어리구간, ,0.66,쉬움,12,9, , , , , ,2016-12-31,2107032100
39,51604,416102501,태화산,금어리구간, ,0.71,쉬움,13,9, , , , , ,2016-12-31,2107032100
