FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,51846,413100101,팔강산,신내동구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,112600601
1,51847,413100101,팔강산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,112600601
2,51848,413100101,팔강산, , ,0.24,쉬움,4,3, , , , , ,2016-12-31,413100201
3,51849,413100101,팔강산,갈매동구간, ,0.3,쉬움,5,4, , , , , ,2016-12-31,413100201
4,51850,413100101,팔강산,갈매동구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,413100201
5,51851,413100101,팔강산, , ,0.3,쉬움,5,4, , , , , ,2016-12-31,413100201
6,51852,413100101,팔강산,갈매동구간, ,0.34,쉬움,6,4, , , , , ,2016-12-31,413100201
7,51853,413100101,팔강산,갈매동구간, ,0.35,쉬움,6,4, , , , , ,2016-12-31,413100201
8,51854,413100101,팔강산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,112600601
9,51855,413100101,팔강산,갈매동구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,413100201
10,51856,413100101,팔강산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,413100201
11,51857,413100101,팔강산, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,413100201
