FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,51862,271401201,팔공산_비로봉, , ,0.65,쉬움,11,8, , , , , ,2016-12-31,1304461200
1,51863,271401201,팔공산_비로봉,대한리구간, ,0.49,쉬움,9,6, , , , , ,2016-12-31,1304461200
2,51864,271401201,팔공산_비로봉, , ,0.88,쉬움,16,11, , , , , ,2016-12-31,1304461200
3,51865,271401201,팔공산_비로봉, , ,1.97,쉬움,35,24, , , , , ,2016-12-31,1304461200
4,51866,271401201,팔공산_비로봉, , ,0.48,쉬움,8,6, , , , , ,2016-12-31,1304461200
5,51867,271401201,팔공산_비로봉, , ,0.57,쉬움,10,7, , , , , ,2016-12-31,1304461200
6,51868,271401201,팔공산_비로봉, , ,0.44,쉬움,8,5, , , , , ,2016-12-31,1304461200
7,51869,271401201,팔공산_비로봉, , ,0.71,쉬움,13,9, , , , , ,2016-12-31,1304461200
8,51870,271401201,팔공산_비로봉, , ,0.93,쉬움,16,11, , , , , ,2016-12-31,1304461200
9,51871,271401201,팔공산_비로봉,신용동구간, ,1.34,쉬움,50,35, , , , , ,2016-12-31,1304461200
10,51872,271401201,팔공산_비로봉, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,1304461200
11,51873,271401201,팔공산_비로봉, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,1304461200
12,51874,271401201,팔공산_비로봉, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,1304461200
13,51875,271401201,팔공산_비로봉, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,1304461200
14,51876,271401201,팔공산_비로봉, , ,0.69,쉬움,12,9, , , , , ,2016-12-31,1304461200
15,51877,271401201,팔공산_비로봉, , ,0.24,쉬움,4,3, , , , , ,2016-12-31,1304461200
16,51878,271401201,팔공산_비로봉, , ,2.5,쉬움,44,31, , , , , ,2016-12-31,1304461200
17,51879,271401201,팔공산_비로봉, , ,0.97,쉬움,17,12, , , , , ,2016-12-31,1304461200
18,51880,271401201,팔공산_비로봉, , ,0.87,쉬움,15,11, , , , , ,2016-12-31,1304461200
19,51881,271401201,팔공산_비로봉, , ,0.51,쉬움,9,6, , , , , ,2016-12-31,1304461200
20,51882,271401201,팔공산_비로봉, , ,0.45,쉬움,8,6, , , , , ,2016-12-31,1304461200
21,51883,271401201,팔공산_비로봉, , ,2.93,쉬움,52,36, , , , , ,2016-12-31,1304461200
22,51884,271401201,팔공산_비로봉, , ,1.63,쉬움,29,20, , , , , ,2016-12-31,1304461200
23,51885,271401201,팔공산_비로봉, , ,0.42,쉬움,7,5, , , , , ,2016-12-31,1304461200
24,51886,271401201,팔공산_비로봉, , ,0.39,쉬움,7,5, , , , , ,2016-12-31,1304461200
25,51887,271401201,팔공산_비로봉, , ,0.42,쉬움,7,5, , , , , ,2016-12-31,1304461200
26,51888,271401201,팔공산_비로봉, , ,1.39,쉬움,25,17, , , , , ,2016-12-31,1304461200
27,51889,271401201,팔공산_비로봉, , ,0.53,쉬움,9,7, , , , , ,2016-12-31,1304461200
28,51890,271401201,팔공산_비로봉, , ,0.34,쉬움,6,4, , , , , ,2016-12-31,1304461200
29,51891,271401201,팔공산_비로봉, , ,1.0,쉬움,18,12, , , , , ,2016-12-31,1304461200
30,51892,271401201,팔공산_비로봉,대한리구간, ,0.48,쉬움,8,6, , , , , ,2016-12-31,1304461200
31,51893,271401201,팔공산_비로봉, , ,0.93,쉬움,16,11, , , , , ,2016-12-31,1304461200
32,51894,271401201,팔공산_비로봉, , ,0.43,쉬움,8,5, , , , , ,2016-12-31,1304461200
33,51895,271401201,팔공산_비로봉, , ,0.32,쉬움,6,4, , , , , ,2016-12-31,1304461200
34,51896,271401201,팔공산_비로봉,대한리구간, ,0.9,쉬움,19,14, , , , , ,2016-12-31,1304461200
35,51897,271401201,팔공산_비로봉, , ,1.06,쉬움,19,13, , , , , ,2016-12-31,1304461200
36,51898,271401201,팔공산_비로봉,치산리구간, ,0.85,쉬움,18,13, , , , , ,2016-12-31,1304461200
37,51899,271401201,팔공산_비로봉, , ,0.9,쉬움,16,11, , , , , ,2016-12-31,1304461200
