FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,52262,427206501,팔봉산,팔봉리구간, ,0.71,쉬움,13,9, , , , , ,2016-12-31,427206501
1,52263,427206501,팔봉산,팔봉리구간, ,0.31,쉬움,5,4, , , , , ,2016-12-31,427206501
2,52264,427206501,팔봉산,팔봉리구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,427206501
3,52265,427206501,팔봉산,팔봉리구간, ,0.21,쉬움,4,3, , , , , ,2016-12-31,427206501
4,52266,427206501,팔봉산,팔봉리구간, ,0.23,쉬움,4,3, , , , , ,2016-12-31,427206501
5,52267,427206501,팔봉산,팔봉리구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,427206501
6,52268,427206501,팔봉산,팔봉리구간, ,0.37,쉬움,7,5, , , , , ,2016-12-31,427206501
7,52269,427206501,팔봉산,팔봉리구간, ,0.25,쉬움,4,3, , , , , ,2016-12-31,427206501
8,52270,427206501,팔봉산,팔봉리구간, ,0.23,쉬움,4,3, , , , , ,2016-12-31,427206501
9,52271,427206501,팔봉산,팔봉리구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,427206501
10,52272,427206501,팔봉산,팔봉리구간, ,0.36,쉬움,6,4, , , , , ,2016-12-31,427206501
11,52273,427206501,팔봉산,팔봉리구간, ,0.47,쉬움,8,6, , , , , ,2016-12-31,427206501
12,52274,427206501,팔봉산,팔봉리구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,427206501
13,52275,427206501,팔봉산,팔봉리구간, ,0.16,쉬움,3,2, , , , , ,2016-12-31,427206501
14,52276,427206501,팔봉산,팔봉리구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,427206501
15,52277,427206501,팔봉산,팔봉리구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,427206501
16,52278,427206501,팔봉산,팔봉리구간, ,0.18,쉬움,3,2, , , , , ,2016-12-31,427206501
17,52279,427206501,팔봉산,팔봉리구간, ,0.4,쉬움,7,5, , , , , ,2016-12-31,427206501
18,52280,427206501,팔봉산,팔봉리구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,427206501
19,52281,427206501,팔봉산,팔봉리구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,427206501
