FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,52403,481502901,팔용산,봉암동구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,481270701
1,52404,481502901,팔용산, , ,0.52,쉬움,9,6, , , , , ,2016-12-31,2806213100
2,52405,481502901,팔용산, , ,0.3,쉬움,5,4, , , , , ,2016-12-31,2806213100
3,52406,481502901,팔용산, , ,0.5,쉬움,9,6, , , , , ,2016-12-31,2806213100
4,52407,481502901,팔용산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,2806213100
5,52408,481502901,팔용산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2806213100
6,52409,481502901,팔용산, , ,0.38,쉬움,7,5, , , , , ,2016-12-31,2806213100
7,52410,481502901,팔용산, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,2806213100
8,52411,481502901,팔용산, , ,0.39,중간,7,5, , , , , ,2016-12-31,2806213100
9,52412,481502901,팔용산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,2806213100
10,52413,481502901,팔용산, , ,0.83,쉬움,15,10, , , , , ,2016-12-31,2806213100
11,52414,481502901,팔용산, , ,0.3,쉬움,5,4, , , , , ,2016-12-31,2806213100
12,52415,481502901,팔용산, , ,0.23,쉬움,4,3, , , , , ,2016-12-31,2806213100
13,52416,481502901,팔용산, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,2806213100
14,52417,481502901,팔용산, , ,0.37,쉬움,7,5, , , , , ,2016-12-31,2806213100
15,52418,481502901,팔용산, , ,0.46,쉬움,8,6, , , , , ,2016-12-31,2806213100
16,52419,481502901,팔용산, , ,0.52,쉬움,9,6, , , , , ,2016-12-31,2806213100
17,52420,481502901,팔용산, , ,0.77,중간,23,16, , , , , ,2016-12-31,2806213100
18,52421,481502901,팔용산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,2806213100
19,52422,481502901,팔용산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,2806213100
20,52423,481502901,팔용산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,2806213100
21,52424,481502901,팔용산, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,2806213100
22,52425,481502901,팔용산,양덕동구간, ,0.27,쉬움,5,3, , , , , ,2016-12-31,2806213100
23,52426,481502901,팔용산,합성동구간, ,0.51,쉬움,9,6, , , , , ,2016-12-31,2806213100
24,52427,481502901,팔용산, , ,0.35,쉬움,6,4, , , , , ,2016-12-31,2806213100
25,52428,481502901,팔용산, , ,0.33,쉬움,6,4, , , , , ,2016-12-31,2806213100
26,52429,481502901,팔용산, , ,0.45,쉬움,8,6, , , , , ,2016-12-31,2806213100
27,52430,481502901,팔용산, , ,0.33,쉬움,6,4, , , , , ,2016-12-31,2806213100
28,52431,481502901,팔용산,봉암동구간, ,0.39,쉬움,7,5, , , , , ,2016-12-31,2806213100
29,52432,481502901,팔용산,봉암동구간, ,0.56,쉬움,10,7, , , , , ,2016-12-31,2806213100
