FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,52628,451903801,풍악산,주월리구간, ,1.68,쉬움,63,44, , , , , ,2016-12-31,2504093300
1,52629,451903801,풍악산, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,2504093300
2,52630,451903801,풍악산,길곡리구간, ,0.68,쉬움,12,8, , , , , ,2016-12-31,2504093300
3,52631,451903801,풍악산, , ,2.05,쉬움,36,25, , , , , ,2016-12-31,2504093300
4,52632,451903801,풍악산,운교리구간, ,0.86,쉬움,15,11, , , , , ,2016-12-31,2504093300
5,52633,451903801,풍악산,내령리구간, ,0.78,쉬움,14,10, , , , , ,2016-12-31,2504093300
6,52634,451903801,풍악산, , ,0.93,쉬움,16,11, , , , , ,2016-12-31,2504093300
7,52635,451903801,풍악산,신계리구간, ,2.44,쉬움,43,30, , , , , ,2016-12-31,2504093300
8,52636,451903801,풍악산,계수리구간, ,2.83,쉬움,50,35, , , , , ,2016-12-31,2504093300
9,52637,451903801,풍악산,서도리구간, ,0.77,쉬움,14,10, , , , , ,2016-12-31,2504093300
