FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,52663,482705301,하서산,중산리구간, ,1.3,쉬움,23,16, , , , , ,2016-12-31,482705301
1,52664,482705301,하서산,옥천리구간, ,0.66,쉬움,12,8, , , , , ,2016-12-31,482705301
2,52665,482705301,하서산,가례리구간, ,0.93,쉬움,16,11, , , , , ,2016-12-31,2807994600
3,52666,482705301,하서산,무안리구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,2807994600
4,52667,482705301,하서산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,2807994600
5,52668,482705301,하서산,무안리구간, ,1.1,쉬움,19,14, , , , , ,2016-12-31,2807994600
6,52669,482705301,하서산,무안리구간, ,0.16,쉬움,3,2, , , , , ,2016-12-31,2807994600
7,52670,482705301,하서산, , ,0.5,쉬움,9,6, , , , , ,2016-12-31,2807994600
8,52671,482705301,하서산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,2807994600
9,52672,482705301,하서산, , ,0.23,쉬움,4,3, , , , , ,2016-12-31,2807994600
10,52673,482705301,하서산,중산리구간, ,0.88,중간,26,18, , , , , ,2016-12-31,2807994600
11,52674,482705301,하서산, , ,2.73,쉬움,48,34, , , , , ,2016-12-31,2807994600
12,52675,482705301,하서산, , ,1.02,쉬움,18,13, , , , , ,2016-12-31,2807994600
13,52676,482705301,하서산,옥천리구간, ,0.23,쉬움,4,3, , , , , ,2016-12-31,2807994600
14,52677,482705301,하서산,조천리구간, ,0.31,쉬움,5,4, , , , , ,2016-12-31,2807994600
15,52678,482705301,하서산,화봉리구간, ,0.18,중간,3,2, , , , , ,2016-12-31,2807994600
16,52679,482705301,하서산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,2807994600
17,52680,482705301,하서산, , ,0.7,쉬움,12,9, , , , , ,2016-12-31,2807994600
18,52681,482705301,하서산,화봉리구간, ,0.37,쉬움,7,5, , , , , ,2016-12-31,2807994600
19,52682,482705301,하서산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2807994600
20,52683,482705301,하서산, , ,0.58,쉬움,10,7, , , , , ,2016-12-31,2807994600
21,52684,482705301,하서산, , ,3.32,쉬움,59,41, , , , , ,2016-12-31,2807994600
22,52685,482705301,하서산, , ,0.71,쉬움,13,9, , , , , ,2016-12-31,2807994600
23,52686,482705301,하서산,고라리구간, ,2.36,쉬움,42,29, , , , , ,2016-12-31,2807994600
24,52687,482705301,하서산,고라리구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,2807994600
25,52688,482705301,하서산,조천리구간, ,1.56,쉬움,28,19, , , , , ,2016-12-31,2807994600
26,52689,482705301,하서산, , ,1.32,쉬움,23,16, , , , , ,2016-12-31,2807994600
27,52690,482705301,하서산, , ,0.29,쉬움,5,4, , , , , ,2016-12-31,2807994600
28,52691,482705301,하서산,고라리구간, ,1.3,쉬움,23,16, , , , , ,2016-12-31,2807994600
29,52692,482705301,하서산,중산리구간, ,1.29,쉬움,48,34, , , , , ,2016-12-31,482705301
30,52693,482705301,하서산, , ,2.67,쉬움,47,33, , , , , ,2016-12-31,2807994600
